hellofresh_id,ciqual_id,ciqual_alim_nom_fr
5af2be89ae08b5194415a34b,d3bc2116-022b-4b02-a86b-dd34a93a865c,"Haricots verts, purée"
5af2be40ae08b5194415a22e,56aaeb04-a9e7-4cf2-ab33-6c1ccb888d89,"Harissa (sauce condimentaire), préemballée"
6405bf81b0da1947779862b1,284435a8-215c-497b-89b6-a8d5ef0e624b,Jambon de poulet ou Blanc de poulet en tranche
64396863c26f2e77c4a9e545,246cdcb7-a65f-491d-a4ad-aa15bebe8c6d,"Herbes de Provence, séchées"
6405bf5fb0da194777986232,e155cff0-9743-4ed5-9531-5e013b4cc0e7,"Houmous, préemballé"
64073ba8683721c9a32b0736,e155cff0-9743-4ed5-9531-5e013b4cc0e7,"Houmous, préemballé"
5af2c16eae08b51b804e591c,e155cff0-9743-4ed5-9531-5e013b4cc0e7,"Houmous, préemballé"
6405bfe4b0da194777986403,e155cff0-9743-4ed5-9531-5e013b4cc0e7,"Houmous, préemballé"
63e5122ea0a0603e5708dcc4,f54e9cda-5614-4e35-9f24-0d186baaf51f,"Huile combinée, mélange d'huile d'olive et de graines"
63e5122ba0a0603e5708dcc1,f54e9cda-5614-4e35-9f24-0d186baaf51f,"Huile combinée, mélange d'huile d'olive et de graines"
63e51232a0a0603e5708dcc7,f54e9cda-5614-4e35-9f24-0d186baaf51f,"Huile combinée, mélange d'huile d'olive et de graines"
63e5121681b4b295e66f024f,f54e9cda-5614-4e35-9f24-0d186baaf51f,"Huile combinée, mélange d'huile d'olive et de graines"
5c8bcd9be3f3397358648c92,f54e9cda-5614-4e35-9f24-0d186baaf51f,"Huile combinée, mélange d'huile d'olive et de graines"
63e51230bc1d64f7b96e270e,f54e9cda-5614-4e35-9f24-0d186baaf51f,"Huile combinée, mélange d'huile d'olive et de graines"
5d933d4d01649711f920ce9f,85c39501-68f9-4205-93b1-001b86c7d5fe,"Thon germon ou thon blanc, à l'huile d'olive, appertisé, égoutté"
63e5122981b4b295e66f025c,85c39501-68f9-4205-93b1-001b86c7d5fe,"Thon germon ou thon blanc, à l'huile d'olive, appertisé, égoutté"
6405bf3bb0da1947779861c5,99100342-4a6d-498a-8808-784cabd6285e,"Champignon, truffe noire, crue"
5ca75c90e3f339258a36e9f2,365bde3d-beeb-442b-a908-99ddda4c7c87,Huile d'olive vierge extra
6405bff6b0da19477798643e,365bde3d-beeb-442b-a908-99ddda4c7c87,Huile d'olive vierge extra
6405c023b0da1947779864db,b2bdad4b-d8cc-432e-89c5-e6e3be365758,Huile de sésame
5af2be41ae08b5194415a234,b2bdad4b-d8cc-432e-89c5-e6e3be365758,Huile de sésame
5af2be0bae08b5194415a175,2b1d8446-8d2e-4cca-8137-554ec02096c3,Huile de tournesol
63e51218bc1d64f7b96e2702,2b1d8446-8d2e-4cca-8137-554ec02096c3,Huile de tournesol
63e5120f81b4b295e66f024c,2b1d8446-8d2e-4cca-8137-554ec02096c3,Huile de tournesol
6405bf3faf4af6d531d50ae0,71923b99-d85c-445c-8840-e4c3feb9e372,Poudre cacaotée pour bébé
6405bffab9d07cd5d38d7c83,ff0cad1f-a74e-4e3b-9e09-a4e944b0516b,Jambon à l'os braisé
5e4a47fa1841fb3d373ae1ab,ff0cad1f-a74e-4e3b-9e09-a4e944b0516b,Jambon à l'os braisé
6405bf9caf4af6d531d50c45,2072388e-4a81-4d5d-b8dd-3804aa679ee3,Jambon cru
5af2be27ae08b5194415a1d5,19d42e63-73f0-4fdb-aefc-4632c5234ed3,"Jambon cru, fumé"
5c7e9813c445fa073767b8a2,2072388e-4a81-4d5d-b8dd-3804aa679ee3,Jambon cru
642553472e8f18047b34f223,65bc18d1-44da-4d5f-bc09-bb05b3dcf1b6,Jambon sec
648905f67b6a161d101f759f,65bc18d1-44da-4d5f-bc09-bb05b3dcf1b6,Jambon sec
5af2bdecae08b5194415a0ed,db633300-5896-434a-8d28-9f11b1d5b1ea,Jambon sec Serrano
6405c003b9d07cd5d38d7ca4,db633300-5896-434a-8d28-9f11b1d5b1ea,Jambon sec Serrano
5af2c160ae08b51b804e58ee,6c275661-f670-4df0-8a74-788017c594b5,"Épinard, jeunes pousses pour salades, cru"
64073d78df6297bb5beef22a,611cace4-fc78-4dd0-9615-881d5abc4b37,"Sauce kebab, préemballée"
6405bfadb9d07cd5d38d7b88,6f611472-0bcf-4ba5-a383-193229cfad73,"Ketchup, préemballé"
6405bf69b9d07cd5d38d7a92,c6dc40f0-3297-4d5b-96eb-8a709ff41baf,"Kiwi, pulpe et graines, cru"
64e606082d4398dd759153a5,c6dc40f0-3297-4d5b-96eb-8a709ff41baf,"Kiwi, pulpe et graines, cru"
63e5122781b4b295e66f025a,f54e9cda-5614-4e35-9f24-0d186baaf51f,"Huile combinée, mélange d'huile d'olive et de graines"
