id,alim_grp_code,alim_ssgrp_code,alim_ssssgrp_code,alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_ssssgrp_nom_fr,alim_code,alim_nom_fr,alim_nom_sci,"Energie, Règlement UE N° 1169/2011 (kJ/100 g)","Energie, Règlement UE N° 1169/2011 (kcal/100 g)","Energie, N x facteur Jones, avec fibres  (kJ/100 g)","Energie, N x facteur Jones, avec fibres  (kcal/100 g)",Eau (g/100 g),"Protéines, N x facteur de Jones (g/100 g)","Protéines, N x 6.25 (g/100 g)",Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fructose (g/100 g),Galactose (g/100 g),Glucose (g/100 g),Lactose (g/100 g),Maltose (g/100 g),Saccharose (g/100 g),Amidon (g/100 g),Fibres alimentaires (g/100 g),Polyols totaux (g/100 g),Cendres (g/100 g),Alcool (g/100 g),Acides organiques (g/100 g),AG saturés (g/100 g),AG monoinsaturés (g/100 g),AG polyinsaturés (g/100 g),"AG 4:0, butyrique (g/100 g)","AG 6:0, caproïque (g/100 g)","AG 8:0, caprylique (g/100 g)","AG 10:0, caprique (g/100 g)","AG 12:0, laurique (g/100 g)","AG 14:0, myristique (g/100 g)","AG 16:0, palmitique (g/100 g)","AG 18:0, stéarique (g/100 g)","AG 18:1 9c (n-9), oléique (g/100 g)","AG 18:2 9c,12c (n-6), linoléique (g/100 g)","AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100 g)","AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g)","AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100 g)","AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100 g)",Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Calcium (mg/100 g),Chlorure (mg/100 g),Cuivre (mg/100 g),Fer (mg/100 g),Iode (µg/100 g),Magnésium (mg/100 g),Manganèse (mg/100 g),Phosphore (mg/100 g),Potassium (mg/100 g),Sélénium (µg/100 g),Sodium (mg/100 g),Zinc (mg/100 g),Rétinol (µg/100 g),Beta-Carotène (µg/100 g),Vitamine D (µg/100 g),Vitamine E (mg/100 g),Vitamine K1 (µg/100 g),Vitamine K2 (µg/100 g),Vitamine C (mg/100 g),Vitamine B1 ou Thiamine (mg/100 g),Vitamine B2 ou Riboflavine (mg/100 g),Vitamine B3 ou PP ou Niacine (mg/100 g),Vitamine B5 ou Acide pantothénique (mg/100 g),Vitamine B6 (mg/100 g),Vitamine B9 ou Folates totaux (µg/100 g),Vitamine B12 (µg/100 g)
80ba2a6c-6675-4d0a-9f09-bc5660411020,02,0202,000000,"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,-,54031,"Manioc, racine crue",,664,157,664,157,"59,7","1,31","1,31","36,3","0,29","1,7",-,-,-,-,-,-,30,"1,8",0,"0,61",0,traces,"0,074","0,075","0,048",0,0,0,0,"0,00099",0,"0,068","0,005","0,074","0,031","0,017",0,0,0,0,"0,035",16,-,"0,1","0,27",-,21,"0,38",27,271,-,14,"0,34",0,8,0,"0,19","1,9",-,"20,6","0,087","0,048","0,85","0,11","0,088",27,0
600d5598-d4cd-43bc-b1d8-f2a6d04bec1c,02,0202,000000,"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,-,54034,"Manioc, racine cuite",,561,132,561,132,"65,2","0,69","0,69",32,"0,043",-,-,-,-,-,-,-,-,"0,4",0,"0,91",0,traces,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,1",-,"0,018","0,6",-,-,"0,038","40,5",-,-,-,"0,35",-,-,-,-,-,-,"13,1","0,023","0,018","0,47",-,-,-,-
c2f4580c-3830-495e-b7e0-9af165662934,02,0202,000000,"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,-,54500,"Fruit à pain, cru",,444,105,444,105,"70,7","1,07","1,07","22,2","0,23",11,-,-,-,-,-,-,-,"4,9",0,"0,93",0,traces,"0,048","0,034","0,066",0,0,0,0,0,0,"0,031","0,017",-,-,-,-,0,0,0,"0,005",17,-,"0,084","0,54",-,25,"0,06",30,490,-,2,"0,12",0,0,0,"0,1","0,5",-,29,"0,11","0,03","0,9","0,46","0,1",14,0
a1decddb-b31a-4163-be99-007a04da4350,02,0203,020301,"fruits, légumes, légumineuses et oléagineux",légumineuses,légumineuses cuites,20293,"Haricot coco, bouilli/cuit à l'eau",,547,131,547,131,"61,3","9,63","9,63","13,7","0,5","1,1","< 0,2",-,"0,4","< 0,2","< 0,2","0,7","12,3","15,8","< 0,5","1,49",0,"0,66","0,11","0,06","0,28","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,09","0,02","0,06","0,12","0,16","< 0,01","< 0,01","< 0,01",-,"0,023",72,< 20,"0,26","2,7",< 20,53,"0,59",180,480,< 20,9,"1,2",-,"15,6","< 0,25","0,1","3,61",-,"1,62","0,17","0,02","0,86","0,14","0,065","71,4",-
ec8ad108-0ade-41f6-b7db-a00490d426a6,02,0203,020301,"fruits, légumes, légumineuses et oléagineux",légumineuses,légumineuses cuites,20500,"Fève, bouillie/cuite à l'eau",,350,"82,9",350,"82,9","77,9","8,06","8,06","9,35","0,8","0,4","< 0,2",-,"< 0,2","< 0,2","< 0,2","0,4","7,6","3,1","< 0,5","0,7",0,"0,083","0,16","0,08","0,49","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,14","0,02","0,08","0,45","0,04","< 0,01","< 0,01","< 0,01",0,"0,025",37,< 20,"0,31","1,5",< 20,37,"0,31",160,200,< 20,10,1,0,206,0,"0,28","5,52",-,"< 0,5","0,043","0,064","0,69","0,12","0,037","65,3",0
fced03f4-4453-48e1-aab6-2e8366fc95c5,02,0203,020301,"fruits, légumes, légumineuses et oléagineux",légumineuses,légumineuses cuites,20502,"Haricot blanc, bouilli/cuit à l'eau",,469,112,469,112,"66,9","6,75","6,75",12,"1,1","0,3","< 0,2",-,"< 0,2","< 0,2","< 0,2","0,3","11,4","13,8","< 0,5",1,0,"0,12","0,25","0,15","0,61","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,21","0,04","0,13","0,24","0,37","< 0,01","< 0,01","< 0,01",0,"0,023",120,< 20,"0,19","1,7",< 20,33,"0,8",110,260,< 20,"9,3","0,67",0,"5,48","< 0,25","< 0,08","4,37",-,"< 0,5","0,03","0,017","0,32","0,061","0,039","31,1",0
3dc6d3b9-71f8-4d60-88a6-70e1cd6dce68,02,0203,020301,"fruits, légumes, légumineuses et oléagineux",légumineuses,légumineuses cuites,20503,"Haricot rouge, bouilli/cuit à l'eau",,487,116,487,116,65,"9,63","9,63","12,3","0,6","0,5","< 0,2",-,"< 0,2","< 0,2","< 0,2","0,5","11,5","11,6","< 0,5","0,95",0,"0,17","0,19","0,16","0,24","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,01","0,15","0,03","0,15","0,11","0,13","< 0,01","< 0,01","< 0,01",0,"0,021",55,< 20,"0,27","2,3",< 20,39,"0,44",150,300,< 20,"8,4","0,94",0,< 5,"< 0,25","< 0,08","1,06",-,"< 0,5","0,12","0,022","0,25","0,083","0,067","78,3",0
c3025809-7c31-466b-8ccb-50e83e210f34,02,0203,020301,"fruits, légumes, légumineuses et oléagineux",légumineuses,légumineuses cuites,20505,"Lentille, bouillie/cuite à l'eau",,-,-,-,-,"69,6","9,02","9,02","12,2","0,38","1,8",-,-,-,-,-,"0,39",-,"7,9",-,"0,83",0,traces,"0,053","0,064","0,18",0,0,0,0,0,"0,001","0,045","0,005",-,-,-,-,0,0,0,"0,005","26,2",20,"0,24","1,44",3,"35,6","0,43",180,222,< 10,2,"0,98",0,5,0,"0,11","1,7",-,"1,5","0,17","0,073","1,06","0,64","0,18",181,0
73a20595-7cce-4713-9511-4d409ecb2f86,02,0203,020301,"fruits, légumes, légumineuses et oléagineux",légumineuses,légumineuses cuites,20506,"Pois cassé, bouilli/cuit à l'eau",,-,-,-,-,"64,9","8,6","8,6","16,3","1,49","3,85",-,-,-,-,-,"0,65",-,"7,95",-,"0,8",0,traces,"0,16","0,33","0,66",0,0,0,0,"0,001","0,0025","0,13","0,024",-,-,-,-,0,0,0,"0,011","24,7",-,"0,19","2,09",2,"20,9","0,28",134,327,"< 2,2","4,5","0,65",0,10,0,"0,19","4,5",-,"0,85","0,15","0,06","0,71","0,44","0,094",119,0
dd2cd5bf-dbc5-4bce-9f39-15d59f39ec9f,02,0203,020301,"fruits, légumes, légumineuses et oléagineux",légumineuses,légumineuses cuites,20507,"Pois chiche, bouilli/cuit à l'eau",,618,147,618,147,62,"8,31","8,31","17,7",3,"0,3","< 0,2",-,"< 0,2","< 0,2","< 0,2","0,3","14,9","8,2","< 0,5","0,73",0,"0,056","0,46","0,82","1,59","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,01","0,37","0,07","0,77","1,5","0,08","< 0,01","< 0,01","< 0,01",-,"0,027",72,< 20,"0,24","1,3",< 20,44,"0,86",140,170,< 20,"10,9","1,1",0,13,"< 0,25","1,22","2,53",-,"< 0,5","0,06","0,027","0,21","0,14","0,09","84,4",-
