"ingredient_id","name","portion","quantity","unit"
"5af2be24ae08b5194415a1c9",Baharat,cc,5.0,g
"5c8bcd9ce3f3397358648c95",Beurre,cc,5.0,g
"63e5122181b4b295e66f0258",Beurre,cc,5.0,g
"5c8bcda5e3f33973013052b2",Cannelle en poudre,cc,5.0,g
"6405bf6aaf4af6d531d50b9c",Cannelle en poudre,cc,5.0,g
"5fbe2dd103cb4c62ac01428c",Cassonade,cc,5.0,g
"63e5122dbc1d64f7b96e270c",Cassonade,cc,5.0,g
"5af2c14fae08b51b804e58b6",Citronnelle moulue,cc,5.0,g
"5c8bcdace3f339730507bc43",Coriandre moulue,cc,5.0,g
"5c8bcda2e3f339735c318342",Cumin en poudre,cc,5.0,g
"5c950d77c445fa28926e8833",Curcuma en poudre,cc,5.0,g
"6405bf8bb9d07cd5d38d7b0d",Curcuma en poudre,cc,5.0,g
"5af2c14aae08b51b804e58ab",Curry en poudre,cc,5.0,g
"5d2c50039de58100111e3d87",Épices italiennes,cc,5.0,g
"5c8bcda9e3f339735561c2c4",Épices mexicaines,cc,5.0,g
"5af2be60ae08b5194415a2a0",Farine,cc,5.0,g
"5c8bcda0e3f33973675d57e3",Flocons de chili,cc,5.0,g
"5eaa742d4d1313374d494f33",Galanga,cc,5.0,g
"5b9f8d9430006c69a4393853",Garam masala,cc,5.0,g
"5af2be15ae08b5194415a193",Gingembre frais,cc,5.0,g
"6405bf3aaf4af6d531d50acd",Gingembre frais,cc,5.0,g
"5cfa73b1d8a87100142eb5b2",Gomasio,cc,5.0,g
"5e020b099c1aaa0c191a7858",Gomasio aux herbes de Provence,cc,5.0,g
"5af2bdfbae08b5194415a12d",Graine de carvi,cc,5.0,g
"5af2be91ae08b5194415a367",Graine de moutarde jaune,cc,5.0,g
"5e417e37c48f1e689e419877",Graines de cumin moulues,cc,5.0,g
"5af2be67ae08b5194415a2bd",Graines de fenouil,cc,5.0,g
"5e304aef7022991e096f4fc9",Graines de fenouil moulues,cc,5.0,g
"5af2be40ae08b5194415a22e",Harissa,cc,5.0,g
"5af2be41ae08b5194415a234",Huile de sésame,cc,5.0,ml
"5af2be0bae08b5194415a175",Huile de tournesol,cc,5.0,ml
"63e51218bc1d64f7b96e2702",Huile de tournesol,cc,5.0,ml
"5c8bcd9be3f3397358648c92",Huile d'olive,cc,5.0,ml
"63e5122ba0a0603e5708dcc1",Huile d'olive,cc,5.0,ml
"63e51232a0a0603e5708dcc7",Huile d'olive,cc,5.0,ml
"5ca75c90e3f339258a36e9f2",Huile d'olive vierge extra,cc,5.0,ml
"5e78c9043d99834ee3629c72",Mélange d'épices du Moyen-Orient,cc,5.0,g
"5b1681b5ae08b5730d55ed62",Miel,cc,5.0,g
"63e5122fbc1d64f7b96e270d",Miel,cc,5.0,g
"5af2be5aae08b5194415a28a",Moutarde,cc,5.0,g
"63e51230a0a0603e5708dcc5",Moutarde,cc,5.0,g
"5af2be53ae08b5194415a273",Noix de muscade,cc,5.0,g
"5af2c14dae08b51b804e58b0",Origan séché,cc,5.0,g
"5c8bcda7e3f339735a76c462",Paprika en poudre,cc,5.0,g
"6405bf4db0da194777986203",Paprika en poudre,cc,5.0,g
"5c8bcdafe3f3397358648c97",Paprika fumé en poudre,cc,5.0,g
"6405c00cb0da194777986485",Paprika fumé en poudre,cc,5.0,g
"5c45992ee3f33920591fcf63",Piment de cayenne moulu,cc,5.0,g
"5cfa73afd8a8710009168b14",Piri-piri,cc,5.0,g
"6405bf28b0da194777986183",Piri-piri,cc,5.0,g
"5af2be8aae08b5194415a34d",Poivre de Cayenne,cc,5.0,g
"5b03d0b9ae08b5095315f752",Ras el-hanout,cc,5.0,g
"5d80e4027ea50740232aca7f",Romarin moulu,cc,5.0,g
"5af2bdf5ae08b5194415a113",Romarin séché,cc,5.0,g
"5d78aadf965c9800131222ab",Sauce poisson,cc,5.0,ml
"5af2bde6ae08b5194415a0d2",Sel,cc,5.0,g
"63e5121781b4b295e66f0250",Sel,cc,5.0,g
"5c8bcdace3f339730507bc42",Sucre,cc,5.0,g
"64062eb8b9d07cd5d38d7cd9",Sucre,cc,5.0,g
"6405bfd5b9d07cd5d38d7c09",Sumac,cc,5.0,g
"5af2bdf8ae08b5194415a11c",Thym séché,cc,5.0,g
"5bdc60d3ae08b57bc06363d2",Vadouvan,cc,5.0,g
"5af2be6fae08b5194415a2db",Vinaigre balsamique blanc ou de riz,cc,5.0,g
"63e5122da0a0603e5708dcc3",Vinaigre balsamique blanc ou de riz,cc,5.0,g
"5c8bcda5e3f33973013052b3",Vinaigre balsamique noir,cc,5.0,g
"63e5121c81b4b295e66f0253",Vinaigre balsamique noir,cc,5.0,g
"5c950d84c445fa289769b624",Vinaigre de vin blanc,cc,5.0,g
"63e5121abc1d64f7b96e2703",Vinaigre de vin blanc,cc,5.0,g
"5c8654f9e3f33953b40b23b3",Vinaigre de vin blanc ou de riz,cc,5.0,g
"5af2c14aae08b51b804e58ac",Vinaigre de vin rouge ou de cidre,cc,5.0,g
"63e51234bc1d64f7b96e270f",Vinaigre de vin rouge ou de cidre,cc,5.0,g
"5af2be52ae08b5194415a26d",Sauce soja,cc,5.0,ml
"5af2c157ae08b51b804e58cc",Aïoli,cs,15.0,g
"63e51223bc1d64f7b96e2707",Babeurre,cs,15.0,g
"5c8bcd9ce3f3397358648c95",Beurre,cs,15.0,g
"63e5121cbc1d64f7b96e2705",Beurre,cs,15.0,g
"5af2be1eae08b5194415a1b2",Beurre doux non salé,cs,15.0,g
"5cb44984c445fa72e10f4ba2",Câpres et dés de cornichons,cs,15.0,g
"5fbe2dd103cb4c62ac01428c",Cassonade,cs,15.0,g
"63e5120da0a0603e5708dcb9",Cassonade,cs,15.0,g
"5af2be42ae08b5194415a239",Chutney de cranberries,cs,15.0,g
"5dde798296ae8413041df142",Ciboulette,cs,15.0,g
"5c8bcda5e3f33973013052b4",Concentré de tomates,cs,15.0,g
"5af2c149ae08b51b804e58a8",Crème aigre,cs,15.0,g
"5af2bdecae08b5194415a0f0",Crème fraîche,cs,15.0,g
"5af2be29ae08b5194415a1dc",Cresson,cs,15.0,g
"5af2c14aae08b51b804e58ab",Curry en poudre,cs,15.0,g
"5c8bcda9e3f339735561c2c4",Épices mexicaines,cs,15.0,g
"5af2be60ae08b5194415a2a0",Farine,cs,15.0,g
"63e5123581b4b295e66f0261",Farine,cs,15.0,g
"5af2be0bae08b5194415a175",Huile de tournesol,cs,15.0,ml
"63e5120f81b4b295e66f024c",Huile de tournesol,cs,15.0,ml
"5c8bcd9be3f3397358648c92",Huile d'olive,cs,15.0,ml
"63e5121881b4b295e66f0251",Huile d'olive,cs,15.0,ml
"63e51230bc1d64f7b96e270e",Huile d'olive,cs,15.0,ml
"5d933d4d01649711f920ce9f",Huile d'olive du thon,cs,15.0,ml
"63e5122981b4b295e66f025c",Huile d'olive du thon,cs,15.0,ml
"5ca75c90e3f339258a36e9f2",Huile d'olive vierge extra,cs,15.0,ml
"5af2be55ae08b5194415a27a",Lait,cs,15.0,ml
"63e51222bc1d64f7b96e2706",Lait,cs,15.0,ml
"5af2be3cae08b5194415a21e",Lait battu,cs,15.0,ml
"5c950d77c445fa28926e8833",Curcuma en poudre,cm,5.0,g
"63e5122781b4b295e66f025a",L'huile d'olive de l'anchois,cs,15.0,ml
"6405bf7ab9d07cd5d38d7ad4",Curcuma frais,cm,5.0,g
"5af2c14eae08b51b804e58b3",Mayonnaise,cs,15.0,g
"5dd79e9b24881d4bc5315faf","Mélange de mâche, roquette et jeunes pousses d'épinards",cs,15.0,g
"5b1681b5ae08b5730d55ed62",Miel,cs,15.0,g
"63e51213a0a0603e5708dcbb",Miel,cs,15.0,g
"6405bfe4b9d07cd5d38d7c39",Miel de fleurs,cs,15.0,g
"5af2be5aae08b5194415a28a",Moutarde,cs,15.0,g
"63e51224bc1d64f7b96e2709",Moutarde,cs,15.0,g
"5c950d82c445fa28d02a8da2",Passata de tomates,cs,15.0,g
"5c8bcd9be3f3397358648c93",Poivre et sel,cs,15.0,g
"5b03d0b9ae08b5095315f752",Ras el-hanout,cs,15.0,g
"5e0e0d291337673263799834",Sauce vietnamienne,cs,15.0,ml
"5c8bcdace3f339730507bc42",Sucre,cs,15.0,g
"64062ea8af4af6d531d50df6",Sucre,cs,15.0,g
"5af2be6fae08b5194415a2db",Vinaigre balsamique blanc ou de riz,cs,15.0,g
"63e5122a81b4b295e66f025d",Vinaigre balsamique blanc ou de riz,cs,15.0,g
"5c8bcda5e3f33973013052b3",Vinaigre balsamique noir,cs,15.0,g
"63e5123281b4b295e66f025f",Vinaigre balsamique noir,cs,15.0,g
"5c950d84c445fa289769b624",Vinaigre de vin blanc,cs,15.0,g
"63e5123381b4b295e66f0260",Vinaigre de vin blanc,cs,15.0,g
"5c8654f9e3f33953b40b23b3",Vinaigre de vin blanc ou de riz,cs,15.0,g
"5af2c14aae08b51b804e58ac",Vinaigre de vin rouge ou de cidre,cs,15.0,g
"63e51223bc1d64f7b96e2708",Vinaigre de vin rouge ou de cidre,cs,15.0,g
"5af2be4bae08b5194415a257",Yaourt entier,cs,15.0,g
"5af2be43ae08b5194415a23c",Yaourt léger,cs,15.0,g
"5af2be62ae08b5194415a2ac",Yaourt nature,cs,15.0,g
"5af2bde9ae08b5194415a0e0",Crème de cuisson,cs,15.0,ml
"5af2be52ae08b5194415a26d",Sauce soja,cs,15.0,ml
"5ea2c7d68dee423f3a615ca6",Crème liquide,cs,15.0,ml
"5c8bcd9de3f33973480ec963",Cube de bouillon de légumes,cs,15.0,g
"5c8bcda5e3f33973013052b2",Cannelle en poudre,selon le goût,2.0,g
"5c8bcd9be3f3397358648c92",Huile d'olive,selon le goût,15.0,ml
"63e5121681b4b295e66f024f",Huile d'olive,selon le goût,15.0,ml
"63e5122ea0a0603e5708dcc4",Huile d'olive,selon le goût,15.0,ml
"5ca75c90e3f339258a36e9f2",Huile d'olive vierge extra,selon le goût,15.0,ml
"5af2be55ae08b5194415a27a",Lait,selon le goût,15.0,ml
"5e3bf6849ce22818eb199f8e",Mélange cranberries et graines,selon le goût,30.0,g
"5b1681b5ae08b5730d55ed62",Miel,selon le goût,30.0,g
"5af2be5aae08b5194415a28a",Moutarde,selon le goût,30.0,g
"5c8bcd9be3f3397358648c93",Poivre et sel,selon le goût,1.0,g
"63e5122b81b4b295e66f025e",Poivre et sel,selon le goût,1.0,g
"5af2c171ae08b51b804e5925",Poivre noir,selon le goût,1.0,g
"5af2bde6ae08b5194415a0d2",Sel,selon le goût,1.0,g
"5c8bcdace3f339730507bc42",Sucre,selon le goût,5.0,g
"5c950d84c445fa289769b624",Vinaigre de vin blanc,selon le goût,5.0,g
"5af2be15ae08b5194415a193",Gingembre frais,cm,10.0,g
"6405bf3aaf4af6d531d50acd",Gingembre frais,cm,10.0,g
"5af2bde9ae08b5194415a0e0",Crème de cuisson,paquet(s),200.0,ml
"6407391f9c6d10cd16eab607",Sauce asiatique sucrée,sachet(s),50.0,ml
"5ea2c7d68dee423f3a615ca6",Crème liquide,pièce(s),200.0,ml
"5af2bdf7ae08b5194415a11a",Oignon rouge,cm,10.0,g
"6405bfccb0da1947779863b2",Pâte à tarte,rouleau(x),230.0,g
"64073bff683721c9a32b079e",Pâte à tarte,rouleau(x),230.0,g
"5c0109bfe3f33939791482f5",Pâte feuilletée,rouleau(x),230.0,g
"5af2be9cae08b5194415a381",Anchois,boîte(s),50.0,g
"5c8bcda5e3f33973013052b4",Concentré de tomates,boîte(s),140.0,g
"5bc9de6330006c594864b1c2",Cubes de tomates à l'oignon,boîte(s),400.0,g
"5bceef3a30006c2b0d5d7232",Haricots blancs,boîte(s),400.0,g
"5af2be1fae08b5194415a1b7",Haricots en boîte,boîte(s),400.0,g
