"ingredient_id","name","portion","quantity","unit"
"6405bf3db9d07cd5d38d79e4",Carottes en botte,botte,200.0,g
"5c9e3f00c445fa5e1e745da2",Carottes en botte,bun,200.0,g
"5ba8a96630006c3c346c38b4",Carré de côtes,pièce,200.0,g
"6405bfe6b9d07cd5d38d7c3f",Cébette,botte,100.0,g
"6405bfe6b9d07cd5d38d7c3f",Cébette,pièce,30.0,g
"5c9e3f07c445fa5e4f2059d2",Céleri branche,pièce,40.0,g
"5af2be22ae08b5194415a1c2",Céleri vert,pièce,300.0,g
"64073bcb9c6d10cd16eab644",Céleri-branche,tige,40.0,g
"64073c2edf6297bb5beef192",Céleri-branche,pièce,40.0,g
"64073bee9c6d10cd16eab66f",Céleri-rave,pièce,500.0,g
"5af2be28ae08b5194415a1d9",Céleri-rave,pièce,500.0,g
"5af2bea1ae08b5194415a392",Cerfeuil,brin,1.0,g
"5af2bea1ae08b5194415a392",Cerfeuil,botte,20.0,g
"6405bf35af4af6d531d50ab9",Cerfeuil,sachet,20.0,g
"6405bf41b0da1947779861d8",Chair de tomates,paquet,400.0,g
"6405bfdcaf4af6d531d50d0e",Chair de tomates,paquet,400.0,g
"64073e939c6d10cd16eab7b8",Chapati,pièce,100.0,g
"6405bfd3b9d07cd5d38d7c02",Chipolata,pièce,60.0,g
"5af2be5eae08b5194415a29c",Chipolatas de bœuf,pièce,80.0,g
"5af2be5fae08b5194415a29d",Chou chinois,pièce,500.0,g
"5af2be5fae08b5194415a29d",Chou chinois,tête,500.0,g
"6405bf71b0da194777986282",Chou chinois,pièce,500.0,g
"5e1f0278e2e6d65ec87f8933",Chou pointu,pièce,500.0,g
"6405bf85af4af6d531d50bef",Chou pointu,pièce,500.0,g
"64073f16df6297bb5beef2b7",Chou vert frisé,pièce,500.0,g
"6405bf89af4af6d531d50bfb",Chou-fleur,pièce,700.0,g
"5af2bdeaae08b5194415a0e8",Chou-rave,pièce,200.0,g
"6405bf26b0da19477798617a",Chou-rave,pièce,200.0,g
"6405bf7aaf4af6d531d50bd5",Choux de Bruxelles,pièce,20.0,g
"5c794b0be3f3396cd0285662",Ciabatta,pièce,100.0,g
