hellofresh_id,ciqual_id,ciqual_alim_nom_fr
5d2455ff6bca36000d28ed33,993fa445-a552-4277-b2db-9e04e2962f07,"Nectarine ou brugnon, pulpe et peau, crue"
5cdea16abfc591000d02b436,a40fd54c-b0d8-485f-b26e-c0e68eafabca,"Nectarine ou brugnon, jaune, pulpe et peau, crue"
642774430b4b91315f171fe5,c2c14c1b-db1c-45ad-b8c8-cdd4ddf5c6f2,Noisette
6405bfc3b0da194777986397,c2c14c1b-db1c-45ad-b8c8-cdd4ddf5c6f2,Noisette
64073bcb683721c9a32b0768,c2c14c1b-db1c-45ad-b8c8-cdd4ddf5c6f2,Noisette
5af2be52ae08b5194415a26e,bf6e92b8-ce9b-402b-a2a1-0c10d8eefe81,Noisette grillée
6405bfb7af4af6d531d50ca7,bf6e92b8-ce9b-402b-a2a1-0c10d8eefe81,Noisette grillée
641855d6fd99775f18f75ce1,bf6e92b8-ce9b-402b-a2a1-0c10d8eefe81,Noisette grillée
5af2be68ae08b5194415a2c1,982ca3cf-8161-464a-a8ba-144fd4c791c5,"Noix, fraîche"
64073bf5683721c9a32b0794,982ca3cf-8161-464a-a8ba-144fd4c791c5,"Noix, fraîche"
6405bf76af4af6d531d50bca,982ca3cf-8161-464a-a8ba-144fd4c791c5,"Noix, fraîche"
64073bd3df6297bb5beef13f,982ca3cf-8161-464a-a8ba-144fd4c791c5,"Noix, fraîche"
6405bf43b0da1947779861da,982ca3cf-8161-464a-a8ba-144fd4c791c5,"Noix, fraîche"
645bc3d0a116286892337383,982ca3cf-8161-464a-a8ba-144fd4c791c5,"Noix, fraîche"
64535d80572079217b737d07,982ca3cf-8161-464a-a8ba-144fd4c791c5,"Noix, fraîche"
5d68deb8b49ee9000d07ee4c,982ca3cf-8161-464a-a8ba-144fd4c791c5,"Noix, fraîche"
5d68ee93b49ee9001266f16f,2fb21b04-27f7-4ab2-921f-bb70e41100ee,"Noix de cajou, grillée, non salée"
64073bb59c6d10cd16eab62c,2fb21b04-27f7-4ab2-921f-bb70e41100ee,"Noix de cajou, grillée, non salée"
6405bfd8b0da1947779863d9,2fb21b04-27f7-4ab2-921f-bb70e41100ee,"Noix de cajou, grillée, non salée"
6405bfcdb0da1947779863b4,06c6237c-d655-4b4c-b076-364f1d7130c2,"Noix de cajou, grillée à sec, non salée"
5af2be54ae08b5194415a277,06c6237c-d655-4b4c-b076-364f1d7130c2,"Noix de cajou, grillée à sec, non salée"
5af2bea7ae08b5194415a3a6,d03502dd-1f4b-4cd2-b44e-8e41492cf8cf,"Noix de cajou, grillée, salée"
64073bb59c6d10cd16eab62d,,Pas de correspondance
5af2be5fae08b5194415a29e,,Pas de correspondance
5af2be59ae08b5194415a289,92ab9b2a-a221-4d8c-84f5-817d202d408a,Noix de pécan
6405bf3db9d07cd5d38d79e9,92ab9b2a-a221-4d8c-84f5-817d202d408a,Noix de pécan
64073c3d683721c9a32b07c1,92ab9b2a-a221-4d8c-84f5-817d202d408a,Noix de pécan
6405c005b0da194777986471,92ab9b2a-a221-4d8c-84f5-817d202d408a,Noix de pécan
6405bf5aaf4af6d531d50b5c,d6d5a59f-9627-4880-8370-d05c462a5295,"Coquille Saint-Jacques, noix, crue"
64073df1df6297bb5beef25e,,Pas de correspondance
5af2be51ae08b5194415a269,,Pas de correspondance
642304b520d75c77facda4a9,,Pas de correspondance
64073bbb9c6d10cd16eab634,,Pas de correspondance
64cbae4f2864fe111ef99772,,Pas de correspondance
64994802461c4ddf32309845,,Pas de correspondance
6405bf6bb9d07cd5d38d7a9f,,Pas de correspondance
5c8bcda0e3f33973675d57e4,,Pas de correspondance
64073bc4df6297bb5beef131,,Pas de correspondance
