id,name,category
6405bfefaf4af6d531d50d49,Prunes,,
6405bf7cb0da1947779862a5,Purée de gingembre,,
6405bf66af4af6d531d50b8f,Quatre épices,,
6405bfedb0da19477798641d,Quinoa,,
5af2be41ae08b5194415a232,Quinoa,,
6405bf44af4af6d531d50af7,Raclette classique RichesMonts,,
6405bfacaf4af6d531d50c74,Raclette Spéciale Burger RichesMonts,,
6405bf2cb0da194777986190,Raclette spéciale croque sans croûte,,
5ca75c8be3f33925825eec73,Radicchio et iceberg,mélange de salade,
6405bff1af4af6d531d50d4f,Radicchio et laitue iceberg,,
5beeea4130006c19492ac426,"Radicchio, roquette et laitue",,
6405bf66af4af6d531d50b8d,"Radicchio, roquette et laitue",,
6405bfeab0da194777986416,Radis,,
5af2be0eae08b5194415a17e,Radis,,
6405c008b9d07cd5d38d7cb0,Radis noir,,
6405c000b0da19477798645b,Radis Red Meat,,
5b0bb2c630006c47d07bd8b6,Ragoût de veau,,
5af2be2bae08b5194415a1e1,Raisins noirs sans pépins,,
6405bfeab9d07cd5d38d7c4d,Raisins noirs sans pépins,,
6405bf52af4af6d531d50b31,Raisins secs,,
5cb4497bc445fa72e07761a4,Raisins secs Sultanines,mélange de fruits séchés,
64073cc3df6297bb5beef1e5,Raisins secs Sultanines,,
64073d67683721c9a32b083c,Raisins secs Sultanines,,
6405bf21b9d07cd5d38d7987,Râpé de raclette RichesMonts,,
6405bf1daf4af6d531d50a57,Ras el-hanout,,
6405bf29b9d07cd5d38d799f,"Ravioli au fenouil, fromage de chèvre et romarin",,
5dd79e9b24881d4bc5315fae,"Ravioli au fenouil, fromage de chèvre et romarin",pâtes,
5d35be88a641a5000c79e69a,Ravioli chou-fleur et beurre noisette,pâtes,
6405bf29b0da194777986187,Ravioli chou-fleur et beurre noisette,,
6405bf96af4af6d531d50c27,"Ravioli pomme de terre, petits pois et persil",,
5cc6ca77945b1900146cb175,"Ravioli pomme de terre, petits pois et persil",pâtes,
6405bf22b0da194777986167,Ricotta,,
5af2be34ae08b5194415a200,Rigatoni,pâtes,
6405bf21af4af6d531d50a64,Rigatoni,,
64073bcf9c6d10cd16eab64e,Rigatoni,,
5af2be0fae08b5194415a181,Riz au pandan,riz,
5af2be56ae08b5194415a27f,Riz basmati,,
6405c004b9d07cd5d38d7ca6,Riz brun cuisson rapide,,
6405bfb8b9d07cd5d38d7baa,Riz cargo,,
5ba8a97330006c3bf1494e62,Riz de brocoli,,
5b558674ae08b545242dde42,Riz de chou-fleur,chou-fleur,
64073bd7683721c9a32b0771,Riz de chou-fleur,,
5af2be76ae08b5194415a2f3,Riz du Surinam,,
6405bf8faf4af6d531d50c0a,Riz pandan,,
5dde7987f3e6147286036a6b,Riz pour risotto,riz,
6405bfe9b9d07cd5d38d7c48,Riz pour risotto,,
6405bf54b0da194777986216,Romarin,,
5af2c156ae08b51b804e58c9,Romarin,romarin,
64073f7fdf6297bb5beef2de,Romarin et basilic frais,,
5c26420ac445fa3b9b724f92,Romarin et basilic frais,,
64073e4b9c6d10cd16eab799,Romarin et origan frais,,
5c0109c0e3f33939791482f8,Romarin et sauge frais,,
5c5dad05c445fa6a26626692,Romarin et thym frais,,
5d80e4027ea50740232aca7f,Romarin moulu,mélange d'herbes,
6405bf29b9d07cd5d38d799d,Romarin séché,,
5af2bdf5ae08b5194415a113,Romarin séché,,
6405bf72b9d07cd5d38d7ab6,Roquette cresson,,
5cc6ca6b945b19000e5141c6,Roquette et mâche,mélange de salade,
6405bf69b0da19477798625f,Roquette et mâche,,
64073ba79c6d10cd16eab619,Roquette et mâche,,
6405bfa2b0da194777986321,Rôti de bœuf Charolais,,
5db849a0a4c7e22376507a25,Rôti de dinde,,
5af2be67ae08b5194415a2bb,Roulade de boeur farcie,boeuf,
6405bfbdb0da194777986380,Rumsteak,,
5af2c171ae08b51b804e5926,Rumsteak,,
64073be79c6d10cd16eab662,Saint-Nectaire,,
6405bf36b0da1947779861b1,Salade,,
64073bf1df6297bb5beef160,Salade,,
6405bfb6b0da194777986365,Salade,,
5af2bde6ae08b5194415a0d3,Salade iceberg,mélange de salade,
5af2bde2ae08b5194415a0ca,Salade romaine,,
6405bfe7af4af6d531d50d31,Salade romaine,,
5af2be54ae08b5194415a278,Salicornes,,
6405bfe9af4af6d531d50d36,Salicornes,,
64073bc2df6297bb5beef128,Samossas bœuf,,
64073bd4df6297bb5beef141,Samossas légumes et sauce aigre-douce,autres,
64995662461c4ddf32309847,Sauce asiatique sucrée,,
5df10368a47f290633771eb7,Sauce asiatique sucrée,sauce,
6405c008b0da19477798647b,Sauce au chili sucrée et épicée,,
64073bb6df6297bb5beef111,Sauce hoisin,,
640f439a7bee82308d55128f,Sauce miel-gingembre,,
64073bacdf6297bb5beef105,Sauce poisson,,
6405bffab9d07cd5d38d7c82,Sauce poisson,,
5d78aadf965c9800131222ab,Sauce poisson,préparation du poisson,
5af2bea5ae08b5194415a3a2,Sauce ravigote,,
64073bb19c6d10cd16eab626,Sauce ravigote,,
6405bfb4b9d07cd5d38d7b9e,Sauce ravigote,,
