id,name,category
6405bf64b9d07cd5d38d7a81,Mélange d’épices siciliennes,,
5b48b698ae08b5754b458412,"Mélange de carotte, chou rouge et blanc",mélange de légumes,
5af2c159ae08b51b804e58d2,Mélange de carottes de couleur,,
64073c23683721c9a32b07b9,Mélange de carottes et oignons prédécoupés,,
5af2c165ae08b51b804e58fe,"Mélange de champignons blonds, poireaux, brocoli et courgettes prédécoupés",mélange de légumes,
6405bf9eaf4af6d531d50c48,Mélange de champignons prédécoupés,,
5af2bdf2ae08b5194415a108,Mélange de champignons prédécoupés,champignons,
6405bf83b9d07cd5d38d7aef,"Mélange de gingembre, d'ail et de piment rouge",,
5cb44986c445fa72c4440bb4,Mélange de graines de tournesol et de courge,mélange de noix,
6405bfeab9d07cd5d38d7c4b,Mélange de graines de tournesol et de courge,,
64073f65df6297bb5beef2d7,Mélange de jeunes pousses,,
5af2be5dae08b5194415a296,Mélange de jeunes pousses,mélange de salade,
5af2be33ae08b5194415a1fd,Mélange de légumes,mélange de légumes,
6405bf20b9d07cd5d38d7982,Mélange de légumes à l'orientale,,
64073bb9df6297bb5beef114,Mélange de légumes asiatiques,,
6405bf61af4af6d531d50b7e,Mélange de légumes hollandais,,
5b309fdf30006c6f6512e562,Mélange de légumes hollandais,mélange de légumes,
5ca75c90e3f339258a36e9f3,Mélange de légumes italiens,mélange de légumes,
6405bfbdb9d07cd5d38d7bb6,Mélange de légumes italiens,,
5dd79e9b24881d4bc5315faf,"Mélange de mâche, roquette et jeunes pousses d'épinards",mélange de salade,
5b1a8f7e30006c29dd4c43b4,Mélange de noix et noisettes,mélange de noix,
64073bff683721c9a32b079d,"Mélange de poissons : saumon, cabillaud et colin",,
5b76db79ae08b523860b4493,"Mélange de poissons : saumon, cabillaud, lieu noir",fruits de mer,
64073bb5683721c9a32b0748,"Mélange de poivron, carotte, chou et poireau",,
5bbb0a78ae08b5070015cf82,"Mélange de poivrons rouges, courgettes, poireaux et carottes jaunes prédécoupés",mélange de légumes,
5f365e7f5a32cc237c7bd926,Mélange de salades,mélange de salade,
6405bf4faf4af6d531d50b24,Mélange de salades,,
5e8f162413114d7b1f44185a,"Mélange de salades : épinards, roquette et bette à cardes rouges",mélange de salade,
6405c01ab0da1947779864b4,"Mélange de salades : mâche, roquette et frisée",,
5c7e996bc445fa08900be5b2,Mélange de salades avec de l'aneth,mélange de salade,
