id,name,category
5c7e9d88c445fa0bae3c7f62,Saucisse paysanne,porc veau boeuf
6405bfb8b9d07cd5d38d7baa,Riz cargo,
6405bfd1b0da1947779863c2,Cranberries séchées,
5af2c164ae08b51b804e58fb,Confit de pintade,
64073bad683721c9a32b0742,Labneh,
6405bf59b0da194777986225,Brie,
5af2bea1ae08b5194415a392,Cerfeuil,autres
6405bfafaf4af6d531d50c89,Œuf de poule élevée en plein air,
6405bff1af4af6d531d50d4f,Radicchio et laitue iceberg,
64073d5d683721c9a32b0836,Tofu assaisonné,
6405bf8aaf4af6d531d50bfe,Sauce soja,
6405bf9eaf4af6d531d50c48,Mélange de champignons prédécoupés,
63e51224bc1d64f7b96e2709,Moutarde,
5af2be9cae08b5194415a381,Anchois,
6421532320d75c77facda436,Pesto vert alla genovese,
5af2be9eae08b5194415a38a,Bœuf haché aux épices italiennes,boeuf
6405bf32b9d07cd5d38d79bd,Filet de poulet à la méditerranéenne et à l'ail,
6405bf85b0da1947779862bf,Asperges vertes,
6405bfc3af4af6d531d50ccc,Semoule complète,
5b0bb2b730006c47d07bd8b2,Hamburger,
6405bff4af4af6d531d50d5b,Cuisse de poulet,
5ccc384e33df64001002f546,Boeuf haché aux épices orientales,boeuf
6405bf79af4af6d531d50bd2,Pain d'épice bio,
5af2be10ae08b5194415a185,Graines de grenade,
5c264210c445fa3bed1be1e2,Persil plat et thym,persil
641855d6fd99775f18f75ce1,Noisettes grillées,
6495be683bcb0c05c0584177,Bagel,pâte à pain
5af2be5cae08b5194415a292,Graines de sésame,mélange de noix
64f199da71b62ce128332348,Marrons,
6405c003b9d07cd5d38d7ca4,Jambon Serrano,
64073bc1683721c9a32b0757,Confiture de fraises,
64073be79c6d10cd16eab662,Saint-Nectaire,
649ab493b4dbfc471f98972a,Couscous perlé,
6405bf69b9d07cd5d38d7a94,Filets de poulet marinés aux fines herbes,
6405bf41af4af6d531d50aec,Pain pita,
64073bff683721c9a32b07a1,Pesto vert alla genovese,
63e5121781b4b295e66f0250,Sel,
6405bff5b9d07cd5d38d7c76,Thym,
5af2c153ae08b51b804e58c1,Cacahuètes salées,mélange de noix
6405bf9caf4af6d531d50c45,Jambon blanc,
5bbb0a7eae08b506f1706f93,"Saucisse de porc, sauge et vin blanc",
6405bf2fb9d07cd5d38d79b8,Pâte de curry vert,
648905f30635a1e9befbb436,Confit de canard,
6405bf81b9d07cd5d38d7aeb,Filet de bar avec peau,
64073bb59c6d10cd16eab62e,Curry en poudre,
5daefe8ff9231732ac008256,Myrtilles,
5af2be0fae08b5194415a180,Pak choï,chou
5d80e4075de66e1f746e35e8,Fromage de montagne râpé,fromage
5c8bcdade3f339735d1859a3,Pappardelle fraîches,pâtes
5af2c154ae08b51b804e58c4,Filet de merlu avec peau,fruits de mer
