id,name,category
5af2be0dae08b5194415a179,Lait de coco,
64073bb8df6297bb5beef113,Pesto de champignons,
5e81de6965d0084a291b7039,Menthe et thym,menthe
6405bf3ab9d07cd5d38d79dd,Broccolini,
63e5122181b4b295e66f0258,Beurre,
5af2be8dae08b5194415a35b,Copeaux de grana padano,fromage
5af2be59ae08b5194415a289,Noix de pécan,mélange de noix
5ca75c98e3f3392616454052,Dés de cuisse de poulet,poulet
5c950d89c445fa289a180ac2,Steak haché de bœuf et de porc,boeuf
5dcd7271b2285877f1209db5,Choucroute,
6405c004b9d07cd5d38d7ca6,Riz brun cuisson rapide,
5e735f9577e50120590c05a5,Filet de poulet à la méditerranéenne,poulet
6405bf2cb0da194777986191,Filet de merlu avec peau,
6405bfa0b0da19477798631b,Petits pois,
5d78aad4965c9800152ee448,Abricots séchés,mélange de fruits séchés
6405bfd2b0da1947779863c6,Mozzarella,
64073bacdf6297bb5beef105,Sauce poisson,
64073bc8683721c9a32b0762,Pâte à tarte,
64e38514a2c417189e0da947,Demi-baguette,
5cf144a8806177000e019d26,Brie,fromage
5af2be0bae08b5194415a175,Huile de tournesol,huile
5c545d5ae3f33934c63a1363,Aneth et estragon,estragon
63e51218bc1d64f7b96e2702,Huile de tournesol,
6405bf33b0da1947779861a9,Bagel sésame-pavot,
6405bf73af4af6d531d50bb9,Crème aigre BIO,
6405bfeeb9d07cd5d38d7c57,Pain naan à l'ail et aux épices,
5beeea4130006c19492ac425,Crème de basilic,pesto
64073cc3df6297bb5beef1e5,Raisins secs Sultanines,
64073cbddf6297bb5beef1e1,Muesli,
6405bfa3b9d07cd5d38d7b68,Myrtilles,
6405bffeb9d07cd5d38d7c90,Chutney de mangue,
5af2be52ae08b5194415a26e,Noisettes grillées,mélange de noix
5af2bdf6ae08b5194415a114,Burger de veau,
6405bfd5b9d07cd5d38d7c09,Sumac,
5af2be43ae08b5194415a23c,Yaourt léger,
5af2bdf4ae08b5194415a10e,Nouilles udon fraîches,autres nouilles
64073d64df6297bb5beef223,Petit pain aux drêches,
6438256b184668ed677d9e31,Coppa di Parma,
63e5121ea0a0603e5708dcbf,Farine,
6405bf58b0da194777986222,Fricassée de champignons émincés,
642553472e8f18047b34f223,Jambon sec,
5dc19336f3d8c476360348c8,Saumon fumé à froid,fruits de mer
6405bf8daf4af6d531d50c06,"Persil plat, menthe et basilic",
64073bc1df6297bb5beef125,Farfalle,
5af2be62ae08b5194415a2ac,Yaourt nature,
5af2be15ae08b5194415a193,Gingembre frais,
63e5121cbc1d64f7b96e2705,Beurre,
5b89525aae08b5054c7e9082,Chou rouge et carotte râpés,mélange de légumes
64073bad683721c9a32b0741,Tortillas au blé complet,
5e7b46352437046cd607fc6e,Lanières de poulet aux épices orientales,poulet
