id,name,category
6405bf17b0da19477798613c,Topinambour,
6405bf86b0da1947779862c8,Thym citron,
64073bb2df6297bb5beef109,Spaghetti,
64074035683721c9a32b092a,Lait demi-écrémé bio,
6405bfdab0da1947779863de,Fusilli à cuisson rapide,
5d1b4fca2bd5c6000a2151fc,Camembert,fromage
640afb09cda96bb6528b8fc3,Tranches de carré de porc,
64073be69c6d10cd16eab660,Pain naan,
6405bf30af4af6d531d50aac,Citron vert,
64073bee9c6d10cd16eab66f,Céleri-rave,
5c9e3f10c445fa5e237cc803,Pointes d'asperges vertes,asperges
6405bfecb0da19477798641b,Mini-copeaux de provolone,
5b1a8f7e30006c29dd4c43b4,Mélange de noix et noisettes,mélange de noix
63e51230a0a0603e5708dcc5,Moutarde,
5af2bdeaae08b5194415a0e8,Chou-rave,chou
6405c000b9d07cd5d38d7c99,Lentilles vertes,
5af2be29ae08b5194415a1dc,Cresson,mélange de salade
5eaa742d4d1313374d494f33,Galanga,mélange d'herbes
63e5122a81b4b295e66f025d,Vinaigre balsamique blanc ou de riz,
5af2be9dae08b5194415a387,"Saucisse de porc, citron et thym",
5af2be6dae08b5194415a2d3,Dés de potiron,citrouille
63e5123281b4b295e66f025f,Vinaigre balsamique noir,
5c876c76e3f3392ed3516c92,"Lentilles, cuites",lentilles en conserve
5cebf6e01ce85200174737db,Tagliatelle à l'encre de seiche,pâtes
5c8bcda2e3f339735c318343,Viande hachée de bœuf et de porc,boeuf
5b23c7b9ae08b51f0745b182,Viande de boeuf haché épicée,
5ba8a97330006c3bf1494e62,Riz de brocoli,
6405bfceb0da1947779863ba,Oignon rouge,
64073bc2df6297bb5beef12a,Pesto rosso,
5db8499971086468f669b616,Lamelles de filet de poulet aux épices orientales,poulet
64073bc89c6d10cd16eab641,Pain de campagne tranché,
64073babdf6297bb5beef102,Graines de courge,
6405bf66af4af6d531d50b8d,"Radicchio, roquette et laitue",
6405bf6daf4af6d531d50ba6,Émincés de porc assaisonnés à l'indienne,
5af2bde9ae08b5194415a0df,Champignons shiitake,
5cb9b4dee3f339474e7537f2,Penne,pâtes
5d725d9a0dcef10009125ba8,Saucisse de porc à la bière Westmalle,porc veau boeuf
6405bf5db0da19477798622d,Filet de cabillaud sans peau,
5af2be17ae08b5194415a198,Mini-copeaux de provolone,
5d80e40b99ea5a049e5cc468,Orange sanguine,orange
6405bf22b0da194777986164,Chutney piquant aux oignons,
6405bf9aaf4af6d531d50c3b,Melon charentais,
6405bfaeaf4af6d531d50c81,Sucrine,
5b55866fae08b5444c794962,Thon à l'huile d'olive,fruits de mer
6405bf80af4af6d531d50be4,Brocoli,
64073bae9c6d10cd16eab621,Tomme montagnarde,
64073bbb9c6d10cd16eab634,Nouilles de blé,
5eaa742d4d1313374d494f32,Fruits de mer,Poisson
64073bdf683721c9a32b077a,Comté,
5b48b698ae08b5754b458412,"Mélange de carotte, chou rouge et blanc",mélange de légumes
