id,name,category
5ca75c90e3f339258a36e9f3,Mélange de légumes italiens,mélange de légumes
6405bf54b9d07cd5d38d7a44,Fromage de montagne râpé,
5af2bde6ae08b5194415a0d3,Salade iceberg,mélange de salade
5b0bb2bd30006c47d2648ac3,Lentilles HAK,
64073ba7df6297bb5beef0fb,Crème,
6405bfb8b0da19477798636a,Câpres,
6405bfccb0da1947779863b2,Pâte à tarte,
5c8bcda2e3f339735c318342,Cumin en poudre,mélange d'épices
64073cdc9c6d10cd16eab6fa,Crevettes,
64073cec683721c9a32b080c,Haricots plats coupés,
5c9e3f00c445fa5e1e745da2,Carottes en botte,carotte
5ca75c96e3f339257c25ee72,Boulettes de poulet aux épices indonésiennes,boeuf
6405bfe6b9d07cd5d38d7c3f,Cébette,
6405bf69b0da194777986260,Labneh,
6405bfa9b0da19477798633c,Chou kale,
5c4b336ec445fa26fb0e3523,Petits pois,petits pois
5e78c9043d99834ee3629c72,Mélange d'épices du Moyen-Orient,mélange d'épices
6405bf29af4af6d531d50a90,Curry jaune,
64073cc39c6d10cd16eab6ee,Pain turc,
5d9d97a21354614ba164bdb3,Courgette ronde,courgette
5af2bea4ae08b5194415a39d,Copeaux de fromage de chèvre vieux,
6494e1765f6a5ed9af3caf57,Pain naan,
64396863c26f2e77c4a9e545,Herbes de Provence,
5c70001be3f3396c2a47cd26,Burger végétarien,autre substitut de viande
6405bfdab9d07cd5d38d7c16,Melon galia,
5c0e2cbee3f339379e33fce2,Semoule complète,farine
5b895260ae08b5054c7e9084,Thon,fruits de mer
64073bbcdf6297bb5beef117,Couscous perlé,
5af2be77ae08b5194415a2f9,Poivron pointu rouge,
6405bf21af4af6d531d50a64,Rigatoni,
5bc9de6330006c594864b1c2,Cubes de tomates à l'oignon,
64995662461c4ddf32309847,Sauce asiatique sucrée,
6405c011af4af6d531d50dcd,Citron,
5af2be24ae08b5194415a1c9,Baharat,
6405bf45b9d07cd5d38d7a09,Coriandre et menthe,
5af2be60ae08b5194415a2a0,Farine,farine
6407391f9c6d10cd16eab608,Sauce soja,
5c8bcd9be3f3397358648c92,Huile d'olive,huile
64073d48df6297bb5beef214,Ossau-Iraty AOP,
6405bfadb9d07cd5d38d7b8a,Menthe,
6405bfb5b0da194777986363,Piment vert turc doux,
6405bfdbb0da1947779863e1,Saumon fumé à froid,
5af2bea7ae08b5194415a3a6,Noix de cajou salées,mélange de noix
6405bf88b9d07cd5d38d7b06,Contre-filet de bœuf,
64073babdf6297bb5beef104,Fromage de chèvre frais,
64073c9b683721c9a32b07ef,Saumon fumé à chaud,
5d1b4cb73aef9e000a5fb830,Tomates cerises jaunes et oranges,tomate
6405bf5fb0da194777986232,Houmous,
5e417e37c48f1e689e419877,Graines de cumin moulues,graines de cumin
6405bf89af4af6d531d50bfb,Chou-fleur,
