id,name,category
6405bfa2b0da194777986322,"Mélange de salades: épinards, roquette et cardes rouges",
5af2be63ae08b5194415a2ad,Asperges vertes,
6405bf2cb0da194777986190,Raclette spéciale croque sans croûte,
6405bfadb9d07cd5d38d7b88,Ketchup,
64073bb59c6d10cd16eab630,Dés de butternut,
64073ba5df6297bb5beef0f1,Mini nems au poulet et sauce poisson,
5af2bdedae08b5194415a0f2,Graines de tournesol,mélange de noix
5e3bf6859ce22818eb199f8f,Filet de porc,porc
6405bf73b9d07cd5d38d7aba,Blettes,
5dd79e9b24881d4bc5315fad,Aneth et thym,mélange d'herbes
6493fd38f855bec59c8fd365,Bagel,pâte à pain
64073dc3df6297bb5beef24e,Pesto au poivron,
6405bfeab0da194777986413,Flocons de chili,
