id,name,category
6405c004b0da19477798646f,Mozzarella di Bufala,
6405bf63b9d07cd5d38d7a7f,Freekeh,
6405bf9db0da194777986312,Tomates cerises en conserve,
5cd5685f729fc200153a538d,Mélange de salades avec pousses de tournesol,mélange de salade
5dd79e9b24881d4bc5315faf,"Mélange de mâche, roquette et jeunes pousses d'épinards",mélange de salade
64073be7df6297bb5beef152,Pistaches décortiquées,
5d9d97a76f3ff25eb7598b4e,Confiture de fraises,conserves de fruits
6405bfbfb0da194777986386,Carotte,
6405bf8eb9d07cd5d38d7b13,Aubergine,
6405bf5eb9d07cd5d38d7a72,Pain libanais complet,
64073bb9df6297bb5beef114,Mélange de légumes asiatiques,
5bdc60d7ae08b57bbd306b22,Saucisse de boeuf aux épices italiennes,
64073bb6df6297bb5beef111,Sauce hoisin,
5af2be22ae08b5194415a1c2,Céleri vert,
63e5121aa0a0603e5708dcbe,Beurre,
5cfa73a7d8a87100107aabf3,Betterave de chioggia,betterave
5c7e9813c445fa073767b8a2,Jambon Cobourg,porc
6405bfc3b9d07cd5d38d7bca,Couscous perlé,
5af2c157ae08b51b804e58cc,Aïoli,sauce
5d80e40a1191fd486135374d,Bouillon de bœuf,bouillon cube
6405bf96b0da1947779862fd,Saucisse de porc,
63e5120f81b4b295e66f024c,Huile de tournesol,
6405bfb7b9d07cd5d38d7ba8,Origan,
5d53d9740f071b00083c90a7,Brocoli,brocoli
6405bfe1b0da1947779863f5,Petit pain au pavot,
5cb9b4dbe3f3394619606875,Émincés de bœuf,boeuf
64073e939c6d10cd16eab7b8,Chapati,
5cfa73afd8a8710009168b14,Piri-piri,mélange d'épices
5dde798872793269a97cea45,Poulet haché aux épices méditerranéennes,boeuf
64a362b4d1915b06b70acce4,Pâte épicée javanaise,
5beeea4130006c19492ac426,"Radicchio, roquette et laitue",
64073be19c6d10cd16eab65e,Tortilla à la carotte No Fairytales,
5be14d0930006c4bee2c1732,Bouillon de poulet,bouillon cube
5c8bcda9e3f339735561c2c2,Bœuf haché épicé,boeuf
6405bfe6af4af6d531d50d2d,Petit pain aux drêches,
6405c001b0da194777986460,Piment,
6405bf96af4af6d531d50c27,"Ravioli pomme de terre, petits pois et persil",
5af2be8bae08b5194415a351,Crevettes,fruits de mer
6405bf1eb9d07cd5d38d797a,Pilons de poulet,
6405bfb4b9d07cd5d38d7b9e,Sauce ravigote,
6405bf81af4af6d531d50be8,Olives et câpres,
6427746e0b4b91315f171fe6,Pesto rosso,
5d53dde30f071b001579bac7,Bavette de bœuf,boeuf
64073bc4df6297bb5beef12f,Pain pita,
5af2be0fae08b5194415a182,Lentilles,
5af2c160ae08b51b804e58ee,Jeunes pousses d'épinards,
64073ec5df6297bb5beef29f,Spaghetti frais,
5af2be78ae08b5194415a2fc,Bouillon de champignons,concentré de stock
6405bf28b9d07cd5d38d799c,Filet de poulet,
6405bf97af4af6d531d50c2b,Penne,
