id,name,category
64073bbb9c6d10cd16eab635,Huile de sésame,
5af2be00ae08b5194415a145,Pain naan,pâte à pain
6405bfdbb9d07cd5d38d7c1b,Pain naan,
6405bfcdb9d07cd5d38d7be7,Pois chiches,
5c8bcda9e3f339735561c2c3,Piment rouge,piment
64073d739c6d10cd16eab742,Tapenade d'olives noires,
6405bfe8b0da19477798640f,Sauce tahini,
5af2be8eae08b5194415a35d,Dés de carotte,carotte
5b03d0b9ae08b5095315f752,Ras el-hanout,mélange d'épices
6405bff1b0da194777986429,Harissa,
64073c059c6d10cd16eab687,Pâte pour flammekueche,
5e78c7ef6b3c8459df5b14ba,Steak végétal,autre substitut de viande
64073bb6683721c9a32b074c,Filet de daurade avec peau,
64073be1683721c9a32b077d,Thon au naturel,
64073bab683721c9a32b073d,Emmental râpé,
64073ba6df6297bb5beef0f4,Crème liquide,
6405bf76b0da194777986290,Demi-grenailles avec peau précuites,
6405bf48b9d07cd5d38d7a14,Thym séché,
5af2be8bae08b5194415a354,Copeaux de Gouda Vieux,
6405bfc6b0da19477798639f,Mélange de salades avec des fèves de soja,
5c8bcda9e3f339735561c2c4,Épices mexicaines,mélange d'épices
5b928b59ae08b5536f17e522,Confit de canard,canard
5d03aabbe6881d000b412035,"Viande hachée de bœuf, porc et veau aux herbes",boeuf
64073ba69c6d10cd16eab617,Noix de pécan concassées,
6405bff0b9d07cd5d38d7c5e,Yaourt entier,
5cd56853729fc2001a1b4bf0,Pilons de poulet marinés aux herbes,poulet
6405bf26b9d07cd5d38d7996,Mélange d'épices péruviennes,
5af2be4dae08b5194415a25e,Lanières de filet de porc aux épices indiennes,
5c950d7cc445fa288372a894,Poulet haché aux épices indonésiennes,boeuf
64073bd1df6297bb5beef13a,Confiture de fraises,
5c66d2a2e3f3395bf74d23c7,Chapelure panko,chapelure
6405bfc9b0da1947779863a8,Pain pita complet,
5c950d84c445fa289769b624,Vinaigre de vin blanc,vinaigre
6405bf50b0da19477798620a,Nouilles de blé,
6405bffdb0da194777986456,Haricots rouges,
5af2be76ae08b5194415a2f4,Riz cargo,
6405bff4b0da194777986437,Basilic,
64073e46683721c9a32b0881,Thym citron,
6405bfd8b9d07cd5d38d7c10,Filet de saumon avec peau,
5c0e2cc5e3f33937c643dfa4,Persil plat et menthe,menthe
5bc449da30006c640941a2a3,Haricots noirs HAK,
6405bfd0b0da1947779863bf,Cresson,
5da5776a3827c3609617c1c1,Vin rouge,vin
64073d56df6297bb5beef21d,Ravioli chou-fleur et beurre noisette,
6405bf37af4af6d531d50ac6,Riz,
6405bf80b0da1947779862ae,Chutney de cranberries,
6405bff1af4af6d531d50d4d,Basilic et menthe,
6426ff531a4155bedae223a3,Noix de cajou concassées,
648905ea7b6a161d101f759e,Mayonnaise,
5de7a2f884c0aa432878a632,Semoule,céréales
