"id","name","brand","kcal","fat","saturated_fat","carbohydrate","sugars","fiber","protein","sodium","unit_id"
"85b9384c-e88f-444f-bd71-eb357f5a8a81","Croissant ordinaire, artisanal","",412.0,21.1,11.6,47.6,7.88,1.8,6.94,1.31,1
"629ebb14-5443-441c-889b-fa0b7f7bcc44",Barre glacée chocolatée,"",359.0,21.4,15.2,35.8,27.7,1.31,5.12,0.29,1
"443c0a76-4eae-491f-9eb1-1154d143f617","Navet, bouilli/cuit à l'eau","",21.1,0.3,0.01,3.23,2.8,2.1,0.75,0.025,1
"038fcb99-86fb-43bf-9261-c9b5da01f630","Poulet, cuisse, viande et peau, cru, bio","",193.0,13.3,3.82,0.0,0.0,0.0,18.1,0.19,1
"8a73063e-3250-4787-a06c-a24d2dab4100","Pain, baguette, de tradition française","",279.0,1.0,0.27,56.6,2.1,3.8,8.94,1.33,1
c1d53d0b-3e96-49de-9b2e-1c6c72b78966,"Gâteau de semoule aux raisins et caramel, rayon frais","",146.0,3.4,2.16,24.8,19.2,0.5,3.81,0.08,1
f21dacd6-79af-44f1-bae9-d942fcb037dd,"Jus de grenade, prélevée à la Martinique","",,0.0,,,,,0.69,,1
ee028e20-3352-41a3-9efd-f9a5d45a18d1,Coulommiers,"",279.0,22.8,15.8,0.0,0.0,0.0,18.4,1.37,1
"38a570c8-9b9a-4ed5-bb71-9a2c53eb1f80","Rascasse, cuite à la vapeur","",126.0,3.1,0.61,0.0,0.0,0.0,24.6,0.22,1
"882287fa-f097-40f0-8b53-e216e7e861c8","Sabre, cru","",125.0,5.9,0.94,0.0,0.0,0.0,18.0,0.28,1
"58fd2b80-1d2d-4cbb-b7c4-1aaa7ba966ef",Biscuit de Savoie,"",,0.8,0.12,56.3,,1.5,6.05,1.87,1
dd585fcb-2c06-466f-b2cc-99593ae5f92c,"Écrevisse, crue","",68.3,0.64,0.11,0.81,0.0,0.0,14.8,0.39,1
f96e2b3c-2ab0-468b-ba6c-1a5b6fabd024,Mélasse de canne,"",,0.1,0.018,74.7,74.7,0.0,0.0,0.093,1
"2150d224-e539-467c-9458-833c5cf8b7ba",Tempeh,"",157.0,4.7,0.57,7.89,0.24,6.2,17.6,0.098,1
ad6efbdc-42c5-4b7f-982a-42468a241da1,"Faisselle, 6% MG environ","",84.2,5.5,3.74,3.57,3.57,0.0,4.38,0.088,1
"97de8256-eb70-463f-9477-8b0e072f7c56",Pélardon (fromage de chèvre),"",343.0,27.8,18.6,0.0,0.0,0.0,23.3,1.43,1
"2827531f-d082-4e5f-856a-c94fed8266e9","Pois cassé, sec","",,1.44,0.23,52.0,2.75,15.8,22.8,0.051,1
"55768e81-20c0-4b63-b0a0-edc016e02a9a","Pêche au sirop léger, appertisée, non égouttée","",,0.038,0.003,14.1,12.9,0.92,0.31,0.0022,1
"880d86ed-b93f-4da8-b9b9-ceb989300920","Jus de corossol, prélevé à la Martinique","",,0.43,,,,,0.65,,1
e9ffe658-411d-4651-8c9c-f1eb7313bde9,Bagel,"",272.0,3.98,1.02,47.3,5.36,3.42,10.2,1.08,1
a17c5b82-b821-4395-9a58-75f1363f80b2,Huile d'amande,"",900.0,100.0,8.2,0.0,0.0,0.0,0.0,0.0,2
"240ee5c5-f4c6-4c8d-87cf-db20c2ab86ca",Huile de coton,"",900.0,100.0,25.9,0.0,0.0,0.0,0.0,0.0,2
"8855dc4b-81ad-486d-8f16-501ad9e8d5c8",Vinaigre de vin rouge,"",21.6,0.0,,0.0,0.0,0.0,0.5,0.013,1
"8af2149d-7074-43d0-9dd9-bd325ec66e8a","Cardine franche, crue","",93.4,1.53,0.43,0.0,0.0,0.0,19.9,,1
"696e2e0d-f1dc-4918-bdef-78a2fafe88d3",Graisse d'oie,"",898.0,99.8,27.7,0.0,0.0,0.0,0.0,0.0,1
bcc77548-6a05-4d05-a9d1-7f89a26e4bea,"Gingembre, racine crue","",32.9,1.1,0.09,3.4,1.0,2.7,1.1,0.016,1
"55f349a9-500e-4760-8e2f-5554f0b9d4dc","Noix de coco, amande mûre, fraîche","",,33.5,29.7,6.22,6.22,9.0,3.93,0.05,1
c4ecebdb-bad6-4ee2-81b9-2015be4d7316,Sucre blanc,"",,0.0,0.0,99.8,99.8,0.0,0.0,0.0054,1
"97fc126c-0d22-4092-ada1-b7d76c7413df","Sanglier, cru","",147.0,7.13,2.47,0.0,0.0,0.0,20.7,0.2,1
e1d820c7-c7f4-49b4-8fc5-c483ecbc157c,Gougère,"",399.0,26.6,16.0,22.7,0.56,1.9,16.2,1.13,1
cf9742b5-a1f6-44a6-9a7c-706c302791ff,Ossau-Iraty,"",428.0,37.0,24.4,0.0,0.0,0.0,23.8,1.68,1
a4bef8da-479b-43a6-9957-083a6b1cc39f,"Quinoa, bouilli/cuit à l'eau, non salé","",149.0,1.1,0.14,27.9,0.87,3.8,5.0,0.015,1
"52ba35c6-6c90-4519-98a3-0d2f467084db","Coeur, boeuf, cuit","",133.0,4.5,1.81,0.15,0.0,0.0,23.0,0.15,1
bf2cf7be-0ecb-461a-9002-18165a6c7d95,"Lièvre, viande crue","",111.0,2.67,0.93,0.0,0.0,0.0,21.6,0.15,1
f32222fc-7cbb-4809-b5b7-b7f1db75cb0b,"Lotte ou baudroie, crue","",67.2,0.74,0.2,0.0,0.0,0.2,15.1,0.19,1
cac59fb8-0f54-4265-aa56-b061a4380169,"Croque-monsieur, préemballé","",273.0,12.9,6.5,26.8,2.14,2.45,11.3,1.57,1
"688db318-b525-484b-b435-7c1d39dbaba5","Taro, tubercule, cru","",107.0,0.2,0.041,22.8,0.4,4.1,1.5,0.028,1
"90eb9a2a-1d18-4269-9e3c-002691335ba3","Curry, poudre","",301.0,14.0,1.65,2.63,2.63,53.2,14.5,0.13,1
a8e60ca3-645f-450a-9aae-7be255927713,"Carottes râpées, avec sauce, préemballées","",,5.0,0.43,6.01,5.2,3.64,0.98,0.67,1
