"id","id_old","name","brand","kcal","fat","saturated_fat","carbohydrate","sugars","fiber","protein","sodium","unit_id"
"4d295547-2abd-41e6-b7d5-09f5e44fa07d","5e7360246b65da116176e157","Aneth, menthe et persil plat",Hello Fresh,48.2,1.1,0.27,3.9,1.2,3.5,3.93,0.15,1
"716dc7b3-f93d-49c4-93c6-6fe219169c73","6405bf89b9d07cd5d38d7b07","Aneth, menthe et persil plat",Hello Fresh,48.2,1.1,0.27,3.9,1.2,3.5,3.93,0.15,1
"49f23c12-f105-4a91-a792-98776effee13","6405bfb6b9d07cd5d38d7ba5",Anis étoilé,Hello Fresh,346.0,10.4,4.84,37.7,2.14,25.9,12.4,0.048,1
b4cb42ec-99a4-4a97-af0b-fe8241ce721d,"5af2bdfcae08b5194415a12f",Anis étoilé,Hello Fresh,346.0,10.4,4.84,37.7,2.14,25.9,12.4,0.048,1
"4eec3e92-3b8b-4406-96d5-b3206c21a6d9","63e51223bc1d64f7b96e2707",Babeurre,Hello Fresh,194.0,18.7,12.7,2.89,2.89,3.0,2.56,0.083,1
"421e015a-bde1-48c3-9f9b-68f0371256be","5af2be24ae08b5194415a1c9",Baharat,Hello Fresh,348.0,8.69,2.55,50.5,,21.6,6.09,0.19,1
"5bbc5b32-2e78-44a4-b531-5740548a5613","5eaa75a8c23bc358bf37e995",Faux filet de bœuf,Hello Fresh,152.0,6.74,,0.6,0.0,0.0,22.3,0.082,1
a2ffa436-7019-40fe-bbd6-1431d8525b63,"6405bfe5af4af6d531d50d2c",Fenouil,Hello Fresh,21.8,0.5,0.01,2.63,2.2,2.6,1.0,0.055,1
"6d1b3767-3869-436d-9d93-345bf40c1e4b","6405bfd2af4af6d531d50cf8",Fenouil moulu,Hello Fresh,326.0,14.9,0.48,12.5,12.5,39.8,15.7,0.22,1
"1ebb2ad3-510c-46f9-b2af-bc490d857206","64073ba79c6d10cd16eab61a",Feta,Hello Fresh,285.0,24.3,16.8,0.65,0.0,0.0,14.8,2.27,1
a2eb05a4-780f-4fe6-a11b-45842098dc93,"5af2bdedae08b5194415a0f5",Feta,Hello Fresh,285.0,24.3,16.8,0.65,0.0,0.0,14.8,2.27,1
"4ffe32e2-aa5f-4b83-98a6-24135231541f","6405bf95af4af6d531d50c1e",Baharat,Hello Fresh,348.0,8.69,2.55,50.5,,21.6,6.09,0.19,1
a5ddf9e1-2c9d-4c50-8418-1cf25b19d49e,"6405bff1af4af6d531d50d4d",Basilic et menthe,Hello Fresh,34.8,0.47,0.13,2.55,0.37,3.47,3.35,0.028,1
"8a65fdd5-ae3f-4d2c-b974-bc8d5fbe91d4","5d03abf4d2d35b00122f5377",Bâtard aux figues,Hello Fresh,253.0,1.3,0.42,50.0,2.5,4.3,8.25,1.35,1
