hellofresh_id,ciqual_id,ciqual_alim_nom_fr
6405bf1ab0da194777986149,f69b84ce-3ec6-403d-b693-dec98ac3ab63,"Potimarron, pulpe, cru"
64073c269c6d10cd16eab69e,f69b84ce-3ec6-403d-b693-dec98ac3ab63,"Potimarron, pulpe, cru"
64073c05683721c9a32b07a5,47b077d7-3b68-4c47-bcd6-ad8e657fff03,"Potiron, cru"
5c794b0ee3f3396d174f1023,,Pas de correspondance
6405bfa2af4af6d531d50c57,,Pas de correspondance
6405bfe2b9d07cd5d38d7c32,43ebada5-cc9a-4527-ae9c-5eb4c1fba9c0,Haché de volaille
5c9e3f13c445fa5e34507212,43ebada5-cc9a-4527-ae9c-5eb4c1fba9c0,Haché de volaille
5dde798872793269a97cea45,43ebada5-cc9a-4527-ae9c-5eb4c1fba9c0,Haché de volaille
5af2c151ae08b51b804e58bb,43ebada5-cc9a-4527-ae9c-5eb4c1fba9c0,Haché de volaille
5d2455fd6bca3600111633be,,Pas de correspondance
5af2be3eae08b5194415a225,,Pas de correspondance
5af2c150ae08b51b804e58b7,b2b47cee-f462-43d0-9c17-661e5c9e8eb6,"Chicorée rouge, crue"
6405bfdbaf4af6d531d50d0c,b2b47cee-f462-43d0-9c17-661e5c9e8eb6,"Chicorée rouge, crue"
6405bf8eaf4af6d531d50c08,86cd1695-f3d2-4df1-9a15-93d8b9b6f6a2,"Haricot mungo germé ou pousse de ""soja"", cru"
6405bf32b9d07cd5d38d79bf,,Pas de correspondance
