"portion_id","food_id","name","size"
f7e80be6-653b-4eed-94f3-00a798afcb57,"58b568f8-e35c-4a13-9c0e-27945de8ce80",Cuillère à soupe,15.0
"7db451fe-d58a-4532-8984-f30d9e76bc8a","58b568f8-e35c-4a13-9c0e-27945de8ce80",Tasse,125.0
db9cab7b-d58a-4f55-86a1-4551fdf3dd34,"7dbef345-6085-4176-9ea3-37cf86848290",Part,60.0
aa609b69-b7a4-4787-b232-0a6079faf468,b5389e2e-257e-45b9-9f4d-285cbcc068bc,Unité,200.0
"9eeb6fa6-ef56-4e97-9612-fb7b9ef443bb",e6200c0d-5ab0-4eca-a590-7a8d9c3898ab,Unité,30.0
"3dae89fe-23fd-4a72-b609-0ff3e7acbc82","1dfd3432-84ff-4308-ba01-2182420385d0",Unité,10.0
"0f9491f0-884b-4feb-ba18-4e6cd14d4471",bd9dc712-6cf7-49eb-9893-c83b63773aa5,Part,125.0
"32e59ed0-d8fe-4843-924a-6207648c7a78","90881d71-a471-46fe-8593-ca759235f5d8",Filet,150.0
"49fdba1c-4e74-45d9-9a34-280c11115955","35b7dfaf-7817-47a5-bcdc-520e94edacb1",Tranche,100.0
f264784d-8479-4ce0-b9eb-a10599d8d90b,aa1a8602-e1fd-47ac-a71c-c42d99130516,Morceau,30.0
"4b70c335-fb4c-4598-8e4e-2e7de59842d6","52dda03b-ab44-4079-a52d-7063add3027d",Tranche,50.0
a7ce6ad3-2196-4546-8958-fba29e02442d,"10e60629-001d-44b0-8ea6-cff4fbc9fd58",Unité,10.0
"0e5e5d2d-43cb-4de2-927d-366c10bbbb41",e4be6197-8a1a-4dce-a4c7-5c213fd5bcbd,Gousse,5.0
"48107c98-6b45-4513-bc37-ed61bafaf2a8","61539199-5f0b-4e27-97be-083aa041bf19",Portion,150.0
"0d683594-4091-49ab-b99b-364879f8c699",aaf371a4-5762-4548-b9a3-88e3e8cfcc30,Unité moyenne,200.0
"1c20f73f-1a44-42f2-bd1f-3114d55afcf5",afa03897-77f7-4080-936f-178f87e37ef5,Filet,150.0
"7b5ef767-f65c-4977-904c-43edb0c7189f","02e93708-bde9-4aaf-8d5b-495b6d0c50c5",Cuillère à soupe,15.0
"2f96d462-8598-4aa6-b0ed-6b40eea09270","372cb48e-5312-44ee-961e-e859423500c3",Cuillère à soupe,9.0
"9f235e4c-16c4-47cd-b0a4-5daf0e90c20d",e0f037b2-f551-4d3e-bf1c-0fd2d7de5c40,Unité,15.0
"0e7adbde-69bb-463e-ba0f-b8f6d5fd4abb","7808a4ba-f44e-45c3-9fd8-e2674e2e2455",Part,100.0
"95ebb1d3-2691-4db6-9474-48198ab9eab3",c7c08ff0-46a1-4d77-9794-9842af06d60b,Feuille,30.0
"999b3a5e-cff8-4a44-abb7-a58c36a767b9","64d9d3a4-d848-4491-abeb-cf1ce243648b",Unité moyenne,80.0
f94449ba-e0c6-4d3b-a5ee-fe6274b9dc50,"55bc81cb-d65e-407c-8cb8-33b920e76069",Portion,100.0
fb18d831-d64e-449e-a0f7-f8fbb21095c8,"1cd33acd-e473-4bc1-86a6-5cea9e27b0e4",Pot,125.0
"1b183399-8149-4b4a-b425-69ccfe7a5c5d","575e97d7-07d3-4674-be0b-3c684f598799",Tête moyenne,150.0
"1820a440-0224-4909-ba7a-b32a3b500263",e608925e-5913-45c2-943d-8a060a2a9d63,Tasse,170.0
"523b20c4-6dd4-4e2d-88a5-419b4913d506","5134e96a-d1b2-4b5f-883c-22e21d2d1f4d",Feuille,30.0
e45d1df8-eb37-4a9e-9c06-fc2f3776ea41,d00ef929-55f0-415c-a200-b83a13c8c7be,Filet,150.0
"00db66e9-00a7-489f-948c-60963d6739a3","6e6b065d-b3ff-447e-8ee1-460c036a420d",Tranche,50.0
"1fe0ce62-6d37-4d46-89d3-7f6ffb12e0d9","94733591-5dff-4b02-961c-7ddfb82122ae",Cuillère à soupe,30.0
d68bdac2-9ab9-41ee-9ae8-03414f60c4b7,"56d29cac-a7a7-421e-8316-280dbcada7ef",Unité,20.0
"2f3137f7-59c8-4643-a821-da21062f5587","1b8a009d-29d3-4217-a394-b7ac10cb439e",Cuillère à café,5.0
"523fb7c2-5f44-4e32-ad94-55746878877e",e04bf634-247f-47b1-ab79-53d8dd294d01,Unité,60.0
bef7c5cb-ea21-4abf-af0b-80a089b0e6ba,f589218e-35f9-4ee9-9d6f-12aef239b04f,Tasse,240.0
"747116da-959d-4a3d-9e11-94ffb7137149",ee482a78-2334-407a-a27d-f66d80658526,Unité,150.0
"3cd9407b-cfc3-4ae8-a58d-e69e811b3438","7c060090-656c-429a-bde8-3909bdd8dde9",Portion,100.0
"5b43bdd4-bf65-4759-a5af-617d41c74435","487193ee-d9a7-41b2-aeae-a9c828d9c2ae",Cuillère à soupe,15.0
"70210b6d-99b3-4770-ad62-ed329d55131a","59554a1c-5eda-4b2a-a8d1-23d747855a7f",Unité moyenne,60.0
"63829620-68a9-48cc-990a-81bb5790686f",eb7495c3-9e2b-435a-b9bc-86b3415c29f6,Unité,60.0
"147024a8-021c-4505-bbf4-41b8024c2755",cdccb4f4-417e-4365-913e-b2ada53df3c0,Tasse,130.0
"4acb9aac-2a48-4eab-98c3-9811bd362ae5","9fa84fdc-5e8d-4b1f-bdb3-86df2dc0e1c4",Filet,150.0
"5ef03ceb-d4da-4814-9860-dd61af163d2f",bbeacb84-5a0f-406d-942a-b3450b2d5b4d,Unité,5.0
"83b3c767-e2bf-48cf-86cc-9ebf116ac647","325d28f0-b463-44d7-8925-89da5dcbe81e",Steak,100.0
f020efcc-69a6-43db-a514-8cc0cdee864c,"85b9384c-e88f-444f-bd71-eb357f5a8a81",Unité,50.0
"6d2f5f33-c97c-4249-a307-c660030ebac2","629ebb14-5443-441c-889b-fa0b7f7bcc44",Unité,75.0
c92215fb-a890-400a-8c2d-d9f45bbd2bc5,"443c0a76-4eae-491f-9eb1-1154d143f617",Unité moyenne,100.0
