"food_id","user_id","name","brand","kcal","fat","saturated_fat","carbohydrate","sugars","fiber","protein","sodium","unit_id","image_url"
"8e4d9725-84e5-461e-a7eb-b4c29c893408",,Confiture de lait,,,5.45,2.87,58.0,51.7,0.58,6.32,0.27,"4e427164-c134-4753-bd5b-e9ea22e67245",
e9f603c4-db40-40b5-a90c-b1ead1a56592,,Gelée de fruits divers (extra ou classique),,,0.17,0.033,61.6,61.6,1.28,0.35,0.019,"4e427164-c134-4753-bd5b-e9ea22e67245",
"71840697-2660-450f-b4c3-963c64d8a31e",,"Tartine craquante, extrudée et grillée, fourrée au chocolat",,,16.0,4.88,64.3,30.2,4.65,7.85,0.34,"4e427164-c134-4753-bd5b-e9ea22e67245",
f42ad0fa-5f4f-4461-ab57-19b5a162812d,,"Tartine craquante, extrudée et grillée, fourrée aux fruits",,,6.44,1.72,74.7,28.8,3.92,5.38,0.43,"4e427164-c134-4753-bd5b-e9ea22e67245",
"78bf5114-651c-4668-8f97-249ce5671b12",,"Biscuit sec, sans précision",,,20.6,6.09,65.0,24.7,2.03,6.9,0.63,"4e427164-c134-4753-bd5b-e9ea22e67245",
"84f92b80-f661-4b69-b8ae-72d4d04115ff",,Biscuit sec nature,,,15.1,6.81,70.0,23.6,2.81,6.77,0.84,"4e427164-c134-4753-bd5b-e9ea22e67245",
a9d80519-bede-4f19-87ae-ab8c39141da6,,Biscuit sec à teneur garantie en vitamines,,,14.2,6.07,72.6,23.3,0.75,9.63,0.16,"4e427164-c134-4753-bd5b-e9ea22e67245",
"4b3ab967-18a4-44c3-a847-389bfe1b9799",,Biscuit sec à teneur garantie en vitamines et minéraux,,,19.8,8.44,61.9,22.1,3.5,10.8,0.44,"4e427164-c134-4753-bd5b-e9ea22e67245",
e7afc117-d156-4e1f-b17d-bcd0eb81ab3d,,"Biscuit sec aux fruits, hyposodé",,,15.8,6.8,61.4,20.2,6.0,10.8,0.038,"4e427164-c134-4753-bd5b-e9ea22e67245",
"07bdbc09-96f0-4509-a670-fd64b6d87145",,"Biscuit sec aux fruits hyposodé, sans sucres ajoutés",,,20.7,8.37,47.6,14.3,2.63,22.7,0.35,"4e427164-c134-4753-bd5b-e9ea22e67245",
"613fc781-0ed7-4d0a-a39c-413158d48e5a",,"Biscuit sec croquant au chocolat, allégé en matière grasse",,,11.0,3.18,69.0,22.4,8.4,7.0,2.18,"4e427164-c134-4753-bd5b-e9ea22e67245",
