"id","alim_grp_nom_fr","alim_ssgrp_nom_fr","alim_ssssgrp_nom_fr","alim_nom_fr","kcal","protein","carbohydrate","fat","sugars","fiber","saturated_fat","sodium","unit_id"
"43efb0fd-5bae-40be-93cc-d99f0b77033b","fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Pomme de terre dauphine, surgelée, cuite",302.0,4.5,30.2,17.7,3.5,2.0,3.39,1.32,1.0
b366b78b-5182-44be-9b6d-2aa5728c1474,"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Pomme de terre, flocons déshydratés, nature",361.0,8.04,76.1,0.46,2.35,10.3,0.15,0.55,1.0
ef1e4132-fac1-4e51-90b7-f6cf1e2ca2b0,"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Pomme de terre nouvelle, crue",76.4,1.88,15.9,0.3,0.2,1.3,0.058,0.058,1.0
"6afa35fd-52b0-4d72-987e-7bc8731392eb","fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Pomme de terre, rôtie/cuite au four",89.4,2.5,18.5,0.13,1.18,2.2,0.035,0.025,1.0
"32ad1993-d593-432e-9d06-a8e89ce7907b",aides culinaires et ingrédients divers,ingrédients divers,"",Son de maïs,226.0,8.36,6.65,0.92,0.0,79.0,0.13,0.018,1.0
"5cf8419c-5ff3-4b32-9519-4a5bf2c6bb0f",aides culinaires et ingrédients divers,ingrédients divers,"",Son de riz,398.0,13.9,28.1,20.9,0.9,21.0,4.17,0.013,1.0
"69c5ec45-8ecd-4ee1-aa89-a2eafbcfcd36",aides culinaires et ingrédients divers,ingrédients divers,"",Son (aliment moyen),344.0,15.7,46.0,6.09,2.27,21.3,1.1,0.019,1.0
"4d3818b2-9a92-41e7-acf5-9ae1442e9469",aides culinaires et ingrédients divers,ingrédients divers,"",Germe de blé,375.0,29.2,35.1,9.5,10.0,16.3,1.83,0.018,1.0
f09a16e1-fa6a-49b9-bc82-aed211de1c43,"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Frites de pommes de terre, surgelées, rôties/cuites au four",213.0,3.75,32.6,6.6,0.29,4.2,0.75,0.39,1.0
e3eedb38-7085-4853-b26d-1baa26660421,"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Frites de pommes de terre, surgelées, cuites en friteuse",285.0,3.28,39.4,11.9,0.69,3.9,2.94,0.073,1.0
"3131a605-4d38-4b66-aa60-dcae036b45a1","fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Pomme de terre duchesse, surgelée, cuite",218.0,3.44,29.5,8.5,0.4,4.8,0.96,0.99,1.0
"3652d145-79a4-4f18-b027-b063c80df9b3","fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Pomme de terre noisette, surgelée, cuite",191.0,2.81,28.5,6.6,0.2,3.4,0.94,0.87,1.0
"7bc670b6-3230-4349-8019-b45460b72b0e","fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"",Pomme de terre sautée/poêlée à la graisse de canard,213.0,2.54,21.9,12.1,1.59,2.89,3.17,0.67,1.0
"3eb4946a-58b2-4dde-96dd-523b735facb6","fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Chips de pommes de terre nature ou aromatisées, à l'ancienne",570.0,5.62,49.8,37.6,1.38,4.51,3.53,1.78,1.0
"9d88b242-0643-4b24-b5c5-73fdf940b022","fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Chips de pommes de terre et assimilés nature ou aromatisées, allégées en matière grasse",463.0,6.58,62.1,19.8,2.49,5.19,1.94,1.22,1.0
"1d7e6c92-fcf3-47bf-b383-5d873dba1422","fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"",Rostis ou Galette de pomme de terre,182.0,2.38,22.5,8.3,0.2,3.3,1.06,0.82,1.0
"73ce2060-fe2a-4861-baba-a75ec9dce838","fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Pomme de terre duchesse, surgelée, crue",178.0,2.8,23.2,7.72,0.73,2.13,1.33,0.93,1.0
"4af6981d-7fc7-4ffe-9471-5cdd7389d7d9","fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Pomme de terre sautée/ rissolée, pré-frites, surgelée, crue",135.0,2.32,20.9,4.2,0.42,2.41,1.14,0.17,1.0
c550c33a-effa-4327-9fc2-a79d479a6b45,"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Frites de pommes de terre, surgelées, préfrites, pour cuisson rôtie/ au four",154.0,2.41,23.4,5.09,0.35,2.58,1.56,0.28,1.0
e3158353-6d77-4908-9dfd-defa21c4f802,"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Frites de pommes de terre, surgelées, préfrites, pour cuisson micro-ondes",254.0,3.5,34.0,10.8,0.23,3.83,1.74,0.27,1.0
d79947f4-452a-42ec-b072-81c46e96d06b,"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Frites de pommes de terre, surgelées, préfrites, pour cuisson en friteuse",244.0,3.12,29.1,12.1,0.48,3.39,4.09,0.12,1.0
"74037bf8-84a4-47fb-b553-9c1dfcdfb6eb","fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Pomme de terre, purée (aliment moyen)",91.8,2.11,12.7,3.25,1.49,1.58,1.71,0.35,1.0
"9a751d8d-1c07-40bd-b98b-4e69205b792a","fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Pomme de terre, cuite (aliment moyen)",93.2,2.01,17.2,1.37,1.05,1.96,0.4,0.12,1.0
"5c782932-446b-413a-84b9-bdb32b8603d8","fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Patate douce, cuite",62.8,1.69,12.2,0.15,6.11,2.9,0.042,0.079,1.0
"907e4290-3cae-42a7-b926-643f0237bcc2","fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Topinambour, cuit",81.9,1.8,16.0,0.7,9.6,2.2,0.0,0.09,1.0
a44bcc3a-23c2-4630-ba97-fecce17b1c4d,"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Topinambour, cru",60.7,1.94,11.5,0.31,9.6,2.1,0.11,0.0088,1.0
"57092981-4854-4cbb-a62d-f78841523820","fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Banane plantain, cuite",125.0,0.79,28.9,0.18,14.0,2.3,0.069,0.013,1.0
c9fa5a0c-4f23-4900-ad88-e75a551c3818,"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Taro, tubercule, cuit",131.0,0.52,29.5,0.11,0.49,5.1,0.023,0.038,1.0
"50ae930f-fdb4-4827-82dc-8fc55a22b7d3","fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Igname, épluchée, crue",111.0,1.53,23.8,0.17,0.5,4.1,0.037,0.023,1.0
b7b3a310-5046-427b-b2cf-495545ad3646,"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Igname, épluchée, bouillie/cuite à l'eau",109.0,1.49,23.6,0.14,0.49,3.9,0.029,0.02,1.0
"80ba2a6c-6675-4d0a-9f09-bc5660411020","fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Manioc, racine crue",157.0,1.31,36.3,0.29,1.7,1.8,0.074,0.035,1.0
c2f4580c-3830-495e-b7e0-9af165662934,"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Fruit à pain, cru",105.0,1.07,22.2,0.23,11.0,4.9,0.048,0.005,1.0
ee748bc1-84e0-458c-a462-1db9ff902600,"viandes, œufs, poissons et assimilés",produits à base de poissons et produits de la mer,"","Caviar, semi-conserve",254.0,25.0,0.0,17.1,0.0,0.0,3.21,,1.0
cc313b22-3062-46f6-83b0-d06fd92a3c84,"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Potatoes ou Wedges ou Quartiers de pommes de terre épicés, surgelées, cuites",174.0,3.25,25.3,5.8,0.0,3.4,0.64,0.76,1.0
"1c6b633d-af53-4be5-995b-57a222fa3deb","fruits, légumes, légumineuses et oléagineux",fruits à coque et graines oléagineuses,"","Luzerne, graine",,35.0,39.3,12.6,,7.9,,,1.0
"0471b927-791d-4a35-9ba7-33ed61406157","fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Pomme de terre sautée/rissolée, pré-frite, surgelée, cuite",156.0,2.81,23.0,4.8,0.0,4.0,0.61,0.19,1.0
"23313521-1863-4721-a571-4c5b7fa531ab","viandes, œufs, poissons et assimilés",mollusques et crustacés cuits,"","Bulot ou Buccin, cuit",97.7,20.7,2.69,0.47,0.0,0.0,0.072,0.97,1.0
"11f5e516-5cfc-4d20-bba7-bb69fa49f40c","viandes, œufs, poissons et assimilés",mollusques et crustacés crus,"","Huître, sans précision, crue",67.2,8.64,3.86,1.91,0.0,0.0,0.34,1.45,1.0
"6dda099d-7768-46a0-9e74-106098190d2e",matières grasses,margarines,"","Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, riche en oméga 3",521.0,0.15,0.18,57.8,0.18,0.0,14.5,0.37,1.0
"131a786f-2ad5-4cca-8120-935d2bb36733","viandes, œufs, poissons et assimilés",mollusques et crustacés crus,"","Crevette, surgelée, crue",105.0,23.4,0.74,0.9,,0.5,0.17,0.6,1.0
"440bee8f-9131-4fd8-ade7-5f2a9b6f1305","viandes, œufs, poissons et assimilés",mollusques et crustacés crus,"","Crevette rose, crue",92.3,21.9,0.0,0.53,,0.0,0.11,0.3,1.0
"82fc019e-9381-44c0-957c-bdd26c07370d","viandes, œufs, poissons et assimilés",produits à base de poissons et produits de la mer,"","Maquereau, filet grillé, appertisé, nature, égoutté",246.0,19.7,0.55,18.3,,0.0,4.27,0.84,1.0
ae97acf0-2777-4169-a069-bd8a6826d61e,"viandes, œufs, poissons et assimilés",produits à base de poissons et produits de la mer,"","Oeufs de cabillaud, fumés, semi-conserve",146.0,26.9,0.1,4.2,,0.0,0.56,0.73,1.0
"5d318ad5-0330-43e0-a208-45f0c51323ae","viandes, œufs, poissons et assimilés",produits à base de poissons et produits de la mer,"","Thon germon ou thon blanc, cuit à la vapeur sous pression",165.0,30.0,0.0,5.06,,0.0,1.35,0.1,1.0
"915b3a3b-a966-4843-b0e9-14f14ea48503","viandes, œufs, poissons et assimilés",produits à base de poissons et produits de la mer,"","Saumon, appertisé, égoutté",180.0,20.5,1.5,10.2,,0.0,1.68,1.22,1.0
"043ea8f7-a352-4e9a-942f-afb387b0d15f","viandes, œufs, poissons et assimilés",produits à base de poissons et produits de la mer,"","Foie de morue, appertisé, égoutté",433.0,7.25,1.1,44.4,,0.0,6.87,1.12,1.0
d78220b4-ed47-49a4-942d-dd0e51a95fc9,"viandes, œufs, poissons et assimilés",produits à base de poissons et produits de la mer,"","Thon à l'huile de tournesol, entier, appertisé, égoutté",206.0,23.3,0.76,12.2,,0.0,1.34,0.93,1.0
"134e4f9b-1938-4a3c-9ae3-15a96f9fca7a",aides culinaires et ingrédients divers,algues,"","Wakamé (Undaria pinnatifida), séchée ou déshydratée",184.0,14.1,5.7,2.51,,41.4,0.3,12.9,1.0
"22c887e6-718f-48f2-997e-cea780dc92dc",aides culinaires et ingrédients divers,algues,"","Laitue de mer (Ulva sp.), séchée ou déshydratée",206.0,15.9,13.8,2.03,,34.4,0.36,4.93,1.0
"97741ada-65d3-47ce-bb9b-c631c27ab405",aides culinaires et ingrédients divers,algues,"","Kombu royal (Saccharina latissima), séchée ou déshydratée",204.0,10.3,23.6,1.07,,29.3,0.25,9.08,1.0
"00c23c59-472f-40ce-880d-244779b740b0",aides culinaires et ingrédients divers,algues,"","Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée",224.0,8.38,24.2,2.65,,34.8,0.74,6.41,1.0
ef7bbc23-cf79-47bf-a86a-b5c01d2cbf03,aides culinaires et ingrédients divers,algues,"","Kombu breton (Laminaria digitata), séchée ou déshydratée",217.0,9.51,25.6,1.13,,33.2,0.15,7.87,1.0
"41a08046-791a-43d9-85db-fa7bd774bb97",aides culinaires et ingrédients divers,algues,"","Ao-nori (Enteromorpha sp.), séchée ou déshydratée",224.0,13.7,18.8,2.47,,36.0,0.23,11.9,1.0
"600d5598-d4cd-43bc-b1d8-f2a6d04bec1c","fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Manioc, racine cuite",132.0,0.69,32.0,0.043,,0.4,,,1.0
"949c2825-72a9-4dc0-9801-6e2aedcc89d2",aides culinaires et ingrédients divers,algues,"","Lichen de mer ou pioca ou goémon rouge (Chondrus crispus), séché ou déshydraté",234.0,16.6,21.5,2.3,,30.6,0.1,5.17,1.0
e4d2026e-3db8-40d0-8226-084e78de21eb,produits sucrés,confitures et assimilés,"",Confiture de framboise (extra ou classique),,0.47,61.0,0.21,59.5,0.95,0.0,0.013,1.0
d52be989-ecc2-4dc7-9cd5-e6b92dff3387,produits sucrés,confitures et assimilés,"",Préparation de fruits divers (en taux de sucres : confitures allégées en sucres < préparations de fruits < confitures),,0.49,43.4,0.33,40.5,1.88,0.0,0.015,1.0
"112facda-3ca0-482e-8260-d27ed4ee1b51","fruits, légumes, légumineuses et oléagineux",fruits à coque et graines oléagineuses,"",Mélange apéritif de graines (non salées) et raisins secs,541.0,14.8,31.8,37.2,29.4,9.6,4.96,0.018,1.0
"2fb21b04-27f7-4ab2-921f-bb70e41100ee","fruits, légumes, légumineuses et oléagineux",fruits à coque et graines oléagineuses,"","Noix de cajou, grillée, non salée",618.0,20.5,21.3,48.1,6.64,8.4,8.24,0.015,1.0
"06c6237c-d655-4b4c-b076-364f1d7130c2","fruits, légumes, légumineuses et oléagineux",fruits à coque et graines oléagineuses,"","Noix de cajou, grillée à sec, non salée",630.0,20.5,23.5,49.0,6.63,5.7,8.87,0.02,1.0
"6d6a9f30-5fe1-4ca5-8526-4d0c1b894e3f","fruits, légumes, légumineuses et oléagineux",fruits à coque et graines oléagineuses,"","Pâte d'amande, préemballée",432.0,7.0,70.3,13.5,60.1,2.8,1.05,0.018,1.0
c0a3de38-6d0e-4e77-84f4-f6e81672e4c6,"fruits, légumes, légumineuses et oléagineux",fruits à coque et graines oléagineuses,"","Soja, graine entière",432.0,37.8,20.8,19.2,7.33,13.0,2.72,0.0075,1.0
"1204def5-523c-434e-83a0-ea43fdcde036","fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"","Pomme de terre primeur, sans peau, bouillie/cuite à l'eau",71.6,1.84,14.9,0.1,,2.13,,,1.0
"42d8ec40-177d-43d0-8ab3-9233bb2a097b","viandes, œufs, poissons et assimilés",mollusques et crustacés crus,"","Moule de Méditerranée, crue",68.7,10.7,2.77,1.67,,0.0,,,1.0
"22265918-9217-405e-900a-a00304210be4","viandes, œufs, poissons et assimilés",mollusques et crustacés crus,"","Pecten d'Amérique ou Peigne du canada, noix, crue",81.3,17.3,1.78,0.54,,0.0,,,1.0
ad910874-5584-4014-bc2b-6f6d84ae0fbd,"viandes, œufs, poissons et assimilés",produits à base de poissons et produits de la mer,"","Rillettes de maquereau, préemballées",246.0,11.0,1.0,22.0,0.0,0.0,,,1.0
"1e6756b9-57a1-4806-8cf2-402ed2779775",produits céréaliers,biscuits apéritifs,"","Pop-corn ou Maïs éclaté, à l'huile, salé",485.0,11.0,52.6,23.8,0.57,8.1,9.85,1.2,1.0
"9375977a-9b5d-41d5-969a-f07d389c8e1e",produits céréaliers,biscuits apéritifs,"","Pop-corn ou Maïs éclaté, à l'air, non salé",417.0,10.2,60.0,12.3,0.87,12.8,4.57,0.02,1.0
"5b40f02c-321d-4c17-abdc-1818aadea38c",produits céréaliers,biscuits apéritifs,"","Pop-corn ou Maïs éclaté, au caramel",418.0,3.0,85.4,6.5,62.0,3.0,1.0,0.14,1.0
"0aa07e2c-e145-45da-b801-04af1eec3cb4",produits céréaliers,biscuits apéritifs,"",Chips de crevette,508.0,3.1,63.7,26.6,7.1,1.0,2.4,1.53,1.0
cd9c8d09-351f-4e8d-a4d1-eb8345693ee6,produits céréaliers,biscuits apéritifs,"",Chips de maïs ou tortilla chips,495.0,6.56,59.5,24.7,2.62,4.19,9.98,1.42,1.0
"3432de1d-1db4-4f88-9e74-a4c6000fcf0b",produits céréaliers,biscuits apéritifs,"","Biscuit apéritif soufflé, à base de pomme de terre",484.0,4.25,60.5,24.1,1.61,3.81,6.34,3.14,1.0
"18805c1a-5298-4ce0-aaad-b7b0bf10aa8d",produits céréaliers,biscuits apéritifs,"","Biscuit apéritif, mini bretzel ou sticks",379.0,11.2,74.4,3.13,2.02,4.32,1.4,3.73,1.0
"834008b8-5502-4cd0-ad86-41d99617588a",produits céréaliers,biscuits apéritifs,"","Biscuit apéritif soufflé, à base de pomme de terre et de soja",409.0,19.0,58.3,9.33,7.17,7.67,0.9,2.08,1.0
"397eb87f-58ff-4ac7-b99f-97c8e00f0611",produits céréaliers,biscuits apéritifs,"",Biscuit apéritif (aliment moyen),486.0,9.2,60.3,22.3,3.82,3.41,9.48,2.43,1.0
"76f44ff6-3ab5-48e9-9595-3ec3c6b60fc6",produits céréaliers,biscuits apéritifs,"",Biscuit apéritif feuilleté,509.0,12.3,53.7,26.5,1.86,2.69,17.5,2.54,1.0
f2cd366f-48b8-47de-b582-21729833f0ac,produits céréaliers,biscuits apéritifs,"","Crêpe dentelle (pour apéritif) au fromage, préemballée",555.0,9.3,48.8,35.6,14.2,1.25,23.3,1.73,1.0
b6659d0e-45e7-4044-b11c-017a409b8591,"viandes, œufs, poissons et assimilés",viandes cuites,"","Viande blanche, cuite (aliment moyen)",173.0,28.1,0.26,6.55,0.0019,0.0009,2.15,0.17,1.0
"951ca90d-6122-4d58-b72d-70e06dc018ef","viandes, œufs, poissons et assimilés",viandes cuites,"",Viande cuite (aliment moyen),182.0,27.2,0.24,8.04,0.011,0.0083,3.0,0.2,1.0
e4475a8a-ef26-49e1-bfaf-8b91f7d07e0f,"viandes, œufs, poissons et assimilés",viandes cuites,"","Volaille, cuite (aliment moyen)",166.0,27.6,0.28,5.96,0.0022,0.0013,1.77,0.24,1.0
"749920a7-0736-49b8-a25b-6ebf1ce7ec60","viandes, œufs, poissons et assimilés",viandes cuites,"","Viande rouge, cuite (aliment moyen)",195.0,26.0,0.027,10.1,,0.0,4.16,0.22,1.0
"3ac3a82a-2d66-4499-b988-1108b7c0931b","viandes, œufs, poissons et assimilés",charcuteries et assimilés,"",Charcuterie (aliment moyen),238.0,19.7,1.47,17.1,0.86,0.25,6.61,2.47,1.0
df3b28a7-61a8-48f8-bc50-8a118cc81837,"viandes, œufs, poissons et assimilés",poissons cuits,"","Hareng fumé, à l'huile",168.0,15.1,2.0,11.0,0.0,0.0,3.12,4.08,1.0
"8cecba0f-2241-48f7-b511-de246d0f9eaa","viandes, œufs, poissons et assimilés",poissons crus,"","Merlu, cru",82.6,17.6,0.0,1.35,0.0,0.0,0.22,0.22,1.0
d895b462-a82c-4c90-ac24-61212b22a433,"viandes, œufs, poissons et assimilés",mollusques et crustacés crus,"","Grenouille, cuisse, crue",70.0,16.2,0.66,0.28,0.0,0.0,0.073,0.14,1.0
a6341c44-9975-4b09-a3e6-0e49f0825125,"viandes, œufs, poissons et assimilés",poissons cuits,"",Saumon fumé,178.0,22.0,0.91,9.49,0.0,0.25,2.06,3.51,1.0
"158eda59-d0ed-49ab-a77e-f79180b1c654","viandes, œufs, poissons et assimilés",poissons crus,"","Lieu noir, surgelé, cru",82.4,19.8,0.0,0.37,0.0,0.0,0.074,0.2,1.0
"3d2abf6b-c8bf-4319-888e-99322f815e99","viandes, œufs, poissons et assimilés",autres produits à base de viande,"","Cordon bleu de volaille, préemballé",226.0,14.0,14.6,12.2,2.2,0.78,3.2,1.73,1.0
"3d1116c0-0252-4256-8cbf-7e0db797719e","viandes, œufs, poissons et assimilés",autres produits à base de viande,"","Boeuf, boulettes cuites",217.0,18.5,5.65,13.3,2.0,0.63,4.88,1.13,1.0
"16f55f8d-34ee-4790-939f-a9a39a7dea52","viandes, œufs, poissons et assimilés",autres produits à base de viande,"","Veau, escalope panée, cuite",271.0,22.9,12.6,14.1,0.49,0.94,2.42,0.98,1.0
"84a7b643-dfb3-4c23-8f9f-fa110ddf7c78","viandes, œufs, poissons et assimilés",autres produits à base de viande,"","Boulettes au porc et au boeuf (à la suédoise), préemballées, crues",260.0,14.4,7.78,18.6,0.8,0.8,6.99,1.51,1.0
ccac2884-6ec5-4765-98bc-94263a510168,"viandes, œufs, poissons et assimilés",autres produits à base de viande,"","Boulettes au boeuf et à l'agneau (type kefta), préemballées, crues",247.0,15.7,9.46,15.7,1.2,0.8,5.81,1.03,1.0
"617b8a10-dbb3-4aab-b40a-820633a74d68","viandes, œufs, poissons et assimilés",autres produits à base de viande,"",Brochette de volaille,195.0,18.6,0.8,13.0,0.0,0.0,2.0,0.29,1.0
"3188158d-9125-476f-882d-95e0eb0a0443","viandes, œufs, poissons et assimilés",autres produits à base de viande,"",Brochette de boeuf,191.0,17.1,1.02,12.9,0.0,1.0,3.12,0.13,1.0
"4a258639-c076-4552-a193-45c15f17119e","viandes, œufs, poissons et assimilés",autres produits à base de viande,"",Brochette mixte de viande,208.0,19.7,1.02,13.8,1.01,0.33,2.51,0.61,1.0
ad5e2ed1-4202-4592-8f30-d4eae8c9fe5c,"viandes, œufs, poissons et assimilés",autres produits à base de viande,"","Volaille, croquette panée ou nuggets",239.0,13.1,16.2,13.2,1.07,1.7,2.42,1.2,1.0
"214eff42-1480-4d82-8b5a-ae5ed0c43c52","viandes, œufs, poissons et assimilés",autres produits à base de viande,"",Brochette d'agneau,112.0,12.6,2.54,5.1,1.57,2.6,1.41,0.48,1.0
"2f3324b3-994f-4c36-b001-1cb82d654591","viandes, œufs, poissons et assimilés",autres produits à base de viande,"","Brochette de porc, crue",131.0,15.6,2.1,6.5,1.1,1.0,2.4,0.81,1.0
"4024246a-5443-421c-93f4-f8014d465e87","viandes, œufs, poissons et assimilés",autres produits à base de viande,"","Poulet, croquette panée ou nuggets",250.0,15.6,19.4,11.6,1.3,2.4,2.68,1.37,1.0
f4b295f2-b570-40c2-a38d-a0b5dd8cc8af,"viandes, œufs, poissons et assimilés",autres produits à base de viande,"","Poulet, manchons marinés, rôtis/cuits au four",213.0,22.4,2.1,12.6,0.6,0.9,3.16,1.69,1.0
"2889b31f-70fb-4717-b0c6-983d9df7f1cb","viandes, œufs, poissons et assimilés",autres produits à base de viande,"","Poulet, escalope panée",339.0,7.25,21.7,24.0,1.9,3.4,5.28,1.26,1.0
ba4fa60b-f059-4387-9667-fdd925eba2b3,"viandes, œufs, poissons et assimilés",autres produits à base de viande,"","Dinde, escalope viennoise ou milanaise ou escalope panée",211.0,14.1,13.5,10.9,1.07,1.3,1.53,1.03,1.0
e8b29a9a-d7ee-41f2-8ae8-b843cddb67f6,"viandes, œufs, poissons et assimilés",poissons cuits,"","Saumon, cuit, sans précision (aliment moyen)",205.0,23.0,0.0,12.5,0.0,0.0,2.5,0.13,1.0
"63471b61-28f7-4920-89e3-94f731575ecf","viandes, œufs, poissons et assimilés",poissons cuits,"","Cabillaud, cuit, sans précision (aliment moyen)",98.9,23.1,0.0,0.73,0.0,0.0,0.14,0.2,1.0
"60a6909a-cd88-4d7a-aa6a-d970c7b197d6","viandes, œufs, poissons et assimilés",poissons cuits,"","Hareng fumé, filet, doux",162.0,18.1,0.0,9.9,0.0,0.5,2.24,3.78,1.0
c335fb7f-0692-4665-8cd3-786b64783b27,"viandes, œufs, poissons et assimilés",poissons cuits,"","Églefin, cuit à la vapeur",89.0,20.9,0.0,0.6,0.0,0.0,0.1,0.18,1.0
ef57cd56-2476-453b-94dc-eda1bfe87fb3,"viandes, œufs, poissons et assimilés",poissons cuits,"","Hareng, grillé/poêlé",189.0,21.6,0.0,11.4,0.0,0.0,2.48,0.34,1.0
"1c3f1f50-620b-4773-9b5b-950ca96446a4","viandes, œufs, poissons et assimilés",poissons cuits,"","Hareng fumé, au naturel",173.0,16.5,0.5,11.7,0.0,0.0,2.76,3.98,1.0
e8ebc34d-884a-4600-93dd-01d83d51c8f3,"viandes, œufs, poissons et assimilés",poissons cuits,"","Lieu noir, cuit",99.7,23.1,0.0,0.81,0.0,0.0,0.29,0.25,1.0
"321f251c-929a-44eb-9d33-11f6ee670a79","viandes, œufs, poissons et assimilés",poissons cuits,"",Haddock (fumé) ou églefin fumé,97.0,22.6,0.0,0.73,0.0,0.0,0.13,1.91,1.0
"80d6cede-9cfe-4fc8-818a-b97aec4d6329","viandes, œufs, poissons et assimilés",poissons cuits,"","Sole, frite",72.2,15.8,0.0,1.0,0.0,0.0,0.2,0.36,1.0
"5273ce84-b96a-49b5-a82a-4de55b460e11","viandes, œufs, poissons et assimilés",poissons cuits,"","Raie, cuite au court-bouillon",97.8,23.2,0.0,0.57,0.0,0.0,0.12,0.4,1.0
"64795ec0-6597-4f76-bff4-dc99c45d8a5c","viandes, œufs, poissons et assimilés",poissons cuits,"","Lotte ou baudroie, grillée/poêlée",98.2,23.0,0.0,0.68,0.0,0.0,0.19,0.061,1.0
aee851c8-e5ea-4377-bf53-7c2d0efe15b7,"viandes, œufs, poissons et assimilés",poissons cuits,"","Espadon, rôti/cuit au four",266.0,28.7,0.0,16.9,0.0,0.0,1.51,0.18,1.0
"546fad7e-8d38-4242-bab9-846b1ee698b5","viandes, œufs, poissons et assimilés",poissons cuits,"","Turbot, rôti/cuit au four",118.0,21.3,0.0,3.64,0.0,0.0,0.9,0.25,1.0
"88b86322-e43a-40be-b585-7569210578b2","viandes, œufs, poissons et assimilés",poissons cuits,"","Truite d'élevage, fumée",180.0,23.4,0.69,9.27,0.0,0.0,1.71,3.18,1.0
"7b73567f-256c-4541-8513-eb38ce604ae4","viandes, œufs, poissons et assimilés",poissons cuits,"","Merlu, cuit à l'étouffée",112.0,21.2,0.0,3.0,0.0,0.0,0.92,0.25,1.0
"734dc46f-87c1-488e-84f3-286b8b9b3265","viandes, œufs, poissons et assimilés",poissons cuits,"","Anguille, cuite (aliment moyen)",213.0,22.1,0.0,13.8,0.0,0.0,3.15,,1.0
"6ed672e4-a03c-4ad0-8b42-642ee89983e8","viandes, œufs, poissons et assimilés",poissons crus,"","Cabillaud, cru",77.6,18.1,0.0,0.57,0.0,0.2,0.1,0.23,1.0
"85f65298-d3e6-4f01-847a-0e6596f34e36","viandes, œufs, poissons et assimilés",poissons crus,"","Merlu, filet, surgelé, cru",82.0,15.1,0.0,2.4,0.0,0.0,0.6,0.53,1.0
"9eaade2f-15d0-4b37-908a-5bd3c01558d8","viandes, œufs, poissons et assimilés",poissons crus,"","Maquereau, cru",194.0,18.1,0.0,13.5,0.0,0.0,3.22,0.16,1.0
"6dc95324-141c-4f22-b00d-12274a17f095","viandes, œufs, poissons et assimilés",poissons crus,"","Raie, crue",89.9,21.4,0.0,0.47,0.0,0.0,0.12,0.35,1.0
"25c26b20-b83a-4d82-b282-c7c478bf16dd","viandes, œufs, poissons et assimilés",poissons crus,"","Carrelet ou plie, cru",88.6,20.0,0.0,0.94,0.0,0.0,0.2,0.2,1.0
"6a83f4aa-a691-46f7-b929-10feae17bc04","viandes, œufs, poissons et assimilés",poissons crus,"","Limande, crue",80.8,18.3,0.0,0.85,0.0,0.0,0.16,0.28,1.0
"124d8bf2-a15b-4418-859a-1b2993a30cf2","viandes, œufs, poissons et assimilés",poissons crus,"","Sole, crue",77.3,18.0,0.0,0.6,0.0,0.0,0.13,0.19,1.0
